	SF2	SF3	SF12	SF14	SF17	SF20	SF21	SF24	SF25	SF26
1272733_Cytochrome_c-type_protein_TorY	0	0	0	0	0	0	0	0	0	0
1272743_Trimethylamine-N-oxide_reductase_2	0.053571429	0.072727273	0	0	0.481481481	0	0	0	0	0
1272751_Trimethylamine-N-oxide_reductase_2	0.034482759	0.078431373	0	0	0.407407407	0	0	0	0	0
1272883_Cytochrome_c-type_protein_TorY	0.065217391	0.142857143	0	0	0.178571429	0	0	0	0	0
1273105_Trimethylamine-N-oxide_reductase_2	0	0	1	1	0.24137931	0	0	0	0.255813953	0.395833333
1273179_Trimethylamine-N-oxide_reductase_2	1	1	1	1	1	1	1	1	1	1
1746119_Protein_InaA	1	1	0	0	1	1	1	1	0	0
1746142_Protein_InaA	0.133333333	0.153846154	0	0	0	0	0	0	0	0
1748149_Protein_InaA	0.0625	0.095238095	0	0	0	0	0	0	0	0
1748266_Protein_InaA	0.472222222	0.41025641	0	0	0.3	0	0	0	0	0
1748284_Protein_InaA	0.485714286	0.4	0	0	0	0	0	0	0	0
1748620_Glycerophosphodiester_phosphodiesterase%2C_periplasmic	0.069767442	0.04	1	1	0.130434783	1	1	1	0.26	0.428571429
1748773_Protein_InaA	0.052631579	0.12962963	0	0	0.055555556	0	0	0	0	0
1748872_Glycerophosphodiester_phosphodiesterase%2C_periplasmic	0	0	0	0	0	0	0	0	0	0
1748980_Protein_InaA	0.090909091	0.136363636	0	0	0	0	0	0	0	0
1748992_Protein_InaA	0.1	0.157894737	0	0	0.142857143	0	0	0	0	0
1749034_Protein_InaA	0.041666667	0.102564103	0	0	0.454545455	0	0	0	0	0
1749369_Glycerophosphodiester_phosphodiesterase%2C_periplasmic	0	0	0	0	0.5	0	0.032258065	0	0	0
1834076_Dihydrofolate_synthase/folylpolyglutamate_synthase	0.133333333	0.075	0	0	0.210526316	0	0	0	0.029411765	0
1834097_Dihydrofolate_synthase/folylpolyglutamate_synthase	0.121621622	0.084337349	0	0	0.161290323	0	0	0	0.03030303	0
1834214_Dihydrofolate_synthase/folylpolyglutamate_synthase	0.369863014	0.493150685	0	0	0.3	0.018518519	0	0	0	0
1834292_Dihydrofolate_synthase/folylpolyglutamate_synthase	0.074626866	0.067567568	0	0	0.272727273	0	0	0	0	0
1834295_Erythronate-4-phosphate_dehydrogenase	0.106060606	0.055555556	0	0	0.277777778	0	0	0	0	0
1834358_Dihydrofolate_synthase/folylpolyglutamate_synthase	1	1	1	1	1	1	1	1	0	0
1834475_Erythronate-4-phosphate_dehydrogenase	0.075949367	0.074074074	0	0	0.346153846	1	1	1	0	0
1834550_Dihydrofolate_synthase/folylpolyglutamate_synthase	0.076923077	0.06	0	0	0.434782609	0	0	0	0	0
1834556_Dihydrofolate_synthase/folylpolyglutamate_synthase	0.086206897	0	0	0	0.4	0	0	0	0	0
1834589_Dihydrofolate_synthase/folylpolyglutamate_synthase	0.098591549	0.018181818	0	0	0.227272727	0	0	0	0	0
1834637_Erythronate-4-phosphate_dehydrogenase	0	0	0	0	0.368421053	0	0	0	0	0
1834685_Erythronate-4-phosphate_dehydrogenase	0.435483871	0.480769231	1	1	0.176470588	1	1	0	1	1
1934658_Aminopeptidase_YpdE	0.493150685	0.46875	0	0	0.47826087	0	0	0	0	0
1934733_Aminopeptidase_YpdE	0.038461538	0.046875	0	0	0.208333333	0	0	0	0	0
1934734_Putative_ion-transport_protein_YfeO	0.042253521	0.049180328	0	0	0.217391304	0	0	0	0	0
1934794_Aminopeptidase_YpdE	0.014285714	0.06557377	0	0	0	0	0	0	0	0
1934833_Aminopeptidase_YpdE	1	0.075757576	0	0	0.3125	0	0	0	0	0
1934944_Aminopeptidase_YpdE	0.452380952	0.326923077	0	0	0	0	0	0	0.027777778	0.023809524
1934956_Aminopeptidase_YpdE	0	0	0	0	0	0	0	0	0	0
1935109_Aminopeptidase_YpdE	0	0	0	0	0.166666667	0	0	0	0	0
1935281_Aminopeptidase_YpdE	0	0	0	0.016666667	0	0	0	0	0	0.020833333
1935976_Aminopeptidase_YpdF	0.0625	0.036585366	0	0	0.352941176	1	1	1	0	0
1936207_Aminopeptidase_YpdF	0	0	0	0	0	0	0	0	0	0
1936239_Aminopeptidase_YpdF	0.142857143	0.315789474	0	0	0	0.333333333	0.375	0	0	0
2142804_HTH-type_transcriptional_activator_CmpR	0.066666667	0	0	0	0	0.125	0	0	0	0
2142890_Anti-sigma-E_factor_RseA	0.083333333	1	1	1	0	1	1	0	1	1
2142902_Anti-sigma-E_factor_RseA	0	0	0.044444444	0	0	0.076923077	0	0	0.083333333	0
2142911_ECF_RNA_polymerase_sigma-E_factor	0.090909091	0	0.020833333	0	0	0	0	0	0.055555556	0
2142914_ECF_RNA_polymerase_sigma-E_factor	0	0	0	0	0	0	0	0	0	0
2142925_ECF_RNA_polymerase_sigma-E_factor	0	0	0	0	0	0	0	0	0	0
2143208_HTH-type_transcriptional_activator_CmpR	0.088235294	0.093023256	1	1	0.230769231	1	1	1	1	1
2143226_ECF_RNA_polymerase_sigma-E_factor	0.096774194	0.095238095	0	0	0.153846154	0	0	0	0	0
2143271_ECF_RNA_polymerase_sigma-E_factor	0.088888889	0.106382979	0	0	0.214285714	0	0	0	0	0
2143358_ECF_RNA_polymerase_sigma-E_factor	0.058823529	0.071428571	0	0	0.315789474	0	0	0	0	0
2143394_ECF_RNA_polymerase_sigma-E_factor	0.044117647	0.020408163	0	0	0.2	0	0	0	0	0
2143456_HTH-type_transcriptional_activator_CmpR	0.092307692	0.055555556	0	0	0.321428571	0	0	0	0	0
2143514_HTH-type_transcriptional_activator_CmpR	0	0	0	0	0.09375	0	0	0	0	0
2237475_S-ribosylhomocysteine_lyase	0.051282051	0.028571429	0	0	0.363636364	0	0	0	0	0
2237503_S-ribosylhomocysteine_lyase	0.053571429	0.045454545	0	0	0.272727273	0	0	0.037037037	0	0
2303274_Hydrogenase_3_maturation_protease	0.095890411	0.045977011	0	0	0.235294118	0	0	0	0	0
2303934_NAD(P)H-quinone_oxidoreductase_subunit_2%2C_chloroplastic	0.348314607	0.428571429	1	1	0.352941176	0	0	0	1	0.031746032
2304144_NAD(P)H-quinone_oxidoreductase_subunit_2%2C_chloroplastic	0.465909091	0.444444444	0	0	0	0.037037037	0.021978022	0	0	0
2304162_NAD(P)H-quinone_oxidoreductase_subunit_2%2C_chloroplastic	0.481927711	0.480392157	0	0	0	0.026548673	0.02020202	0	0	0
2304369_Formate_hydrogenlyase_subunit_7	0.081395349	0.021505376	0	0	0.484848485	1	1	1	0	0
2304393_NAD(P)H-quinone_oxidoreductase_subunit_2%2C_chloroplastic	0.090909091	0	0	0	0.37037037	0	0	0	0.014285714	0.010309278
2304528_Formate_hydrogenlyase_subunit_7	0.485714286	0.407894737	0	0	0.066666667	0	0	1	0	0
2304537_Formate_hydrogenlyase_subunit_7	0.01369863	0	0	0	0	0	0	0	0	0
2304642_Formate_hydrogenlyase_subunit_7	0.0625	0.112676056	0	0	0.1	0	0	0	0	0
2394460_Lactaldehyde_reductase	1	1	0	0	0.052631579	1	1	1	0	0
2394543_Lactaldehyde_reductase	0.025974026	0.094594595	0	0	0.3125	0	0	0	0	0
2394591_Lactaldehyde_reductase	0.452054795	0.454545455	0	0	0.333333333	0	0	0	0	0
2394651_Lactaldehyde_reductase	0	0	0	0	0.0625	0	0	0	0	0
2394787_Lactaldehyde_reductase	0.069767442	0.12	0.235294118	0.1875	0	0.222222222	0.333333333	0.4	0.2	0.166666667
2525546_Lysine--tRNA_ligase	0.117647059	0	0	0	0	0.192307692	0	0.1	0	0.157894737
2525819_Lysine--tRNA_ligase	0.083333333	0	0	0	0	0.03030303	1	0	0	0
2525946_Thiol:disulfide_interchange_protein_DsbC	0	0	0	0.016129032	0	0	0	0	0	0
2662416_Lactate_utilization_protein_A	0.402439024	0.392857143	0	0	0.24	1	1	1	0	0
2662722_Lactate_utilization_protein_A	0.043010753	0.042857143	0	0	0	0	0	0	0.282051282	0.33
2662728_Lactate_utilization_protein_A	0.045454545	0.042253521	0	0	0	0	0	0	0.272727273	0.295918367
2662752_Lactate_utilization_protein_A	0	0	0	0	0	0	0	0	0.253164557	0.258426966
2690735_Hydrogenase-2_small_chain	0.346153846	0.388888889	0	0	0.4	0.5	0.44	0.5	0	0
2690755_Hydrogenase-2_small_chain	0	0	0	0	0.1	0	0.052631579	0.111111111	0	0
2786411_Ribosomal_RNA_large_subunit_methyltransferase_G	0	0	0	0	0.142857143	0	0	0	0	0
2786469_Ribosomal_RNA_large_subunit_methyltransferase_G	0	0	0	0	0.142857143	0	0	0	0.169230769	0.454545455
2786499_Ribosomal_RNA_large_subunit_methyltransferase_G	0	0	0	0	0.1	0	0	0	0	0
2786506_Ribosomal_RNA_large_subunit_methyltransferase_G	0.463414634	0.28	0	0	0	0	0	1	0	0
2786535_Ribosomal_RNA_large_subunit_methyltransferase_G	0	0	0	0	0.4	0	0	0	0	0
2786595_Ribosomal_RNA_large_subunit_methyltransferase_G	1	1	0	0	0.2	1	1	1	0.270833333	0.289473684
2786730_Ribosomal_RNA_large_subunit_methyltransferase_G	0	0	0	0	0.166666667	0	0	0	0.215909091	0.382978723
2885742_GTPase_ObgE/CgtA	0.043478261	0.026315789	0	0	0.3125	0	0	0	0	0
2989829_Alternative_ribosome-rescue_factor_A	0.125	0.058823529	0	0	1	1	1	1	0	0
2989844_Alternative_ribosome-rescue_factor_A	0.2	0.1	1	1	0.1	0	0	0	0.028571429	1
2989919_Alternative_ribosome-rescue_factor_A	0.272727273	0.12	1	1	1	1	1	1	1	1
2989958_Alternative_ribosome-rescue_factor_A	0.5	0.272727273	0	0	0	0	0	0	0	0
2989994_Alternative_ribosome-rescue_factor_A	0.285714286	0.230769231	0	0	0	0	0	0	0	0
3201623_Protein_SapB	0	0	0	0	0	0	0	0	0	0
3201838_Protein_SapB	0.428571429	0.352112676	0	0	0.227272727	0	0	0	0	0
3239406_Cyclic_di-GMP-binding_protein	1	1	0	0	0.133333333	0	0	1	1	1
3239795_Cyclic_di-GMP-binding_protein	0	0	0	0	0.428571429	0	0	0	0	0
3239799_Cyclic_di-GMP-binding_protein	1	1	1	1	0.333333333	1	1	1	0	0
3239851_Cyclic_di-GMP_binding_protein_BcsE	0	0	0	0	0	0	0	0	0	0
3240009_Cyclic_di-GMP-binding_protein	0.021052632	0	0	0	0.428571429	0.007575758	0	0	0	0
3240120_Cyclic_di-GMP-binding_protein	0.060240964	0.039473684	0	0	0.4375	0.009259259	0	0	0	0
3240369_Cellulose_synthase_catalytic_subunit_[UDP-forming]	1	1	0	0	0.25	1	1	1	0	0
3240396_Cellulose_synthase_catalytic_subunit_[UDP-forming]	0	0	0	0	0	0	0	0	0	0
3240399_Cellulose_synthase_catalytic_subunit_[UDP-forming]	0.058823529	0.043478261	0	0	0.333333333	0	0	0	0	0
3240417_Cellulose_synthase_catalytic_subunit_[UDP-forming]	0.051546392	0.039473684	0	0	0.428571429	0	0	0	0	0
3286531_Hydrogenase-4_component_A	0	0	0	0	0	0	0	0	0.25	0.443037975
3286838_Hydrogenase-4_component_A	0	0	0	0	0.222222222	0	0	0	0	0
3289915_DNA-binding_transcriptional_repressor_YiaJ	0	0	0	0	0.351351351	0	0	0	0	0
3289981_L-xylulose/3-keto-L-gulonate_kinase	0.12244898	0.076923077	0	0	0.297297297	0	0	0	0.088888889	0
3290098_DNA-binding_transcriptional_repressor_YiaJ	0.041666667	0	0	0	0.19047619	0	0	0	0.285714286	0
3290162_DNA-binding_transcriptional_repressor_YiaJ	0.45	0.419354839	0	0	0.333333333	0	0	0	0	0
3290308_3-keto-L-gulonate-6-phosphate_decarboxylase_SgbH	0	0	0	0	0.333333333	0	0	0	0.325301205	0.403225806
3290611_3-keto-L-gulonate-6-phosphate_decarboxylase_SgbH	0.02247191	0.038961039	0	0	0.275862069	0	0	0	0	0.012195122
3317365_Inner_membrane_protein_YibH	0.057971014	0.050847458	0	0	0.28	1	1	0	0	0
3317374_Inner_membrane_protein_YibH	0.048387097	0.055555556	0	0	0.238095238	1	1	0	0	0
3443666_HTH-type_transcriptional_activator_RhaR	0.092592593	0.058823529	0	0	0.352941176	0	0	0	0	0
3443834_Inner_membrane_protein_YidG	0.090909091	0.086956522	0	0	0.243243243	0	0	0	0.010989011	0.012345679
3443913_Inner_membrane_protein_YidG	0	0	0	0	0.03125	0	0	0	0	0
3443916_Inner_membrane_protein_YidG	0.071428571	0	0	0	0	0	0	0	0.28125	0.352112676
3444242_Inner_membrane_protein_YidH	0.088235294	0.035087719	0	0	0.034482759	0.01	1	1	0	0
3444263_HTH-type_transcriptional_activator_RhaR	1	1	0	0	1	1	1	1	0	0
3447676_Mannosyl-D-glycerate_transport/metabolism_system_repressor_MngR	0.445783133	0.43902439	0	0	0.486486486	0	0	1	0	0
3447677_putative_symporter_YidK	0.428571429	0.455696203	0	0	0.487179487	0.15625	0.216216216	0	0	0
3447703_putative_symporter_YidK	0.045977011	0.025316456	0	0	0	0.428571429	0.388888889	0.5	0	0
3448051_putative_symporter_YidK	0.016666667	0.086956522	0	0	0.433333333	0.034482759	0.072289157	1	0	0
3579052_Protein_HemX	0.14084507	0.210526316	0	0	0	0	0	0.068965517	0	0
3579095_Protein_HemX	0.25	0.338461538	0	0	0	0.058333333	0.051546392	0.257142857	0	0.051546392
3579110_Protein_HemX	0.152777778	0.183098592	0	0	0	0	0	0.088235294	0	0
3579192_Protein_HemX	0.072463768	0.084507042	1	1	0.133333333	1	1	1	1	1
3579762_Protein_HemX	0.1	0.065934066	0	0	0.2	0	0	0	0	0
3988449_Biodegradative_arginine_decarboxylase	0.222222222	0	0	0	0.181818182	0	0.285714286	0	0	0
3988597_Inner_membrane_protein_YjdF	0.5	0.425531915	0	0	0.117647059	1	1	1	0	0
3988612_Biodegradative_arginine_decarboxylase	0.456521739	0.442307692	0	0	0.0625	0	0	0	0	0
3988684_Biodegradative_arginine_decarboxylase	0	0.050847458	0	0	0.052631579	0	0	0	0	0
3988918_Biodegradative_arginine_decarboxylase	0.483333333	0.487179487	0	0	0.24137931	0	0	0	0	0
4027909_Fumarate_reductase_subunit_C	0.444444444	0.438356164	0	0	0.111111111	0	0	0	0	0
4027913_Inner_membrane_transporter_YjeM	0.446428571	0.457831325	0	0	0.103448276	1	1	1	0	0
4027927_Fumarate_reductase_subunit_C	0.471698113	0.5	0	0	0.172413793	0	0	0	0	0
4028167_Inner_membrane_transporter_YjeM	0.444444444	0.352941176	0	0	0.291666667	0	0	0	0.311688312	0.47311828
4028311_Fumarate_reductase_iron-sulfur_subunit	0.041666667	0.018181818	0	0	0.04	1	1	1	0	0
4028331_Fumarate_reductase_iron-sulfur_subunit	0.280701754	0.396551724	0	0	0.034482759	0	0	0	0	0
4598274_Flagellar_M-ring_protein	0.25	0.065217391	0	0	0.4	0	0	1	0	0
4598377_Flagellar_M-ring_protein	0.206896552	0.05	1	1	0.3	0	0	1	0	0
4598404_Flagellar_M-ring_protein	0.1	0	0	0	0	0	0	0	0	0
4598446_Flagellar_M-ring_protein	0	0	0	0	0	0	0	0	0	0
4598467_Flagellar_basal_body_rod_protein_FlgB	0.063829787	0.054545455	0	0	0.375	0	0	0	0	0
4598551_Flagellar_basal_body_rod_protein_FlgB	0	0	0	0	0	0	0	0	0	0
4598577_Flagellar_basal_body_rod_protein_FlgB	0	0	0	0	0	0	0	0	0	0
4598656_Flagellar_basal_body_rod_protein_FlgB	0.15625	0.074074074	0	0	0.166666667	0	0	1	0	0
4598798_Flagellar_basal_body_rod_protein_FlgB	0.444444444	0.285714286	1	1	0	0	0	1	0	0
4598995_Flagellar_basal_body_rod_protein_FlgB	0.230769231	0.19047619	0	0	0	0	0	1	0	0
4599154_Flagellar_basal_body_rod_protein_FlgB	0	0	0	0	0	0	0	0	0	0
4599216_Flagellar_basal_body_rod_protein_FlgB	0	0.066666667	0	0	0	0	0	0	0	0
4599312_Flagellar_basal_body_rod_protein_FlgB	0.142857143	0.133333333	1	1	0	0	0	1	0	0
4599345_Flagellar_basal_body_rod_protein_FlgB	0.103448276	0.117647059	0	0	0	0	0	0	0	0
4599386_Flagellar_basal_body_rod_protein_FlgB	0	0	0	0	0	0	0	0	0	0
4599403_Flagellar_basal_body_rod_protein_FlgB	0	0	0	0	0	0	0	0	0	0
4599924_Flagellar_basal_body_rod_protein_FlgB	0.09375	0.048780488	0	0	0	0	0	0	0	0
4599948_Flagellar_basal_body_rod_protein_FlgB	0.032258065	0.070588235	0	0	0	0	0	0	0	0
4600078_Flagellar_basal_body_rod_protein_FlgB	0	0.012820513	0	0	0.363636364	0	0	0	0	0
4600141_Flagellar_basal_body_rod_protein_FlgB	0	0.013888889	0	0	0	0	0	0	0	0
4600330_Flagellar_basal_body_rod_protein_FlgB	0.079365079	0.05	0	0	0.333333333	0	0	0	0	0
4600573_Flagellar_basal_body_rod_protein_FlgB	0.074074074	0.058823529	0	0	0.5	0	0	0	0	0
4600594_Flagellar_basal_body_rod_protein_FlgB	0.078431373	0.029411765	0	0	0	0	0	0	0	0
4621568_DNA_polymerase_IV	0	0	0	0	0	0	0	0	0	0
4622063_DNA_polymerase_IV	0.443037975	0.4375	0	0	0.1875	0	0	0	0.011764706	0.012048193
4622075_DNA_polymerase_IV	0.451219512	0.4125	1	1	0.448275862	0	0	0	0	0
4937100_tRNA_2-selenouridine_synthase	0.285714286	0.375	0	0	0	0.018867925	0	0	0	0
4937156_tRNA_2-selenouridine_synthase	0.235294118	0	0	0	0.16	0	0	0	0	0
4937308_Ureidoglycolate_lyase	1	1	0	0	0.125	1	0.045454545	1	0	0
4937569_tRNA_2-selenouridine_synthase	0.423728814	0.474576271	0	0	0.136363636	0	0	0	0	0.018518519
4937660_Ureidoglycolate_lyase	0	0	0	0	0	0	0	0	0	0
4937672_Ureidoglycolate_lyase	0.416666667	0.436363636	0	0	0	0	0	0	0.019607843	0.018867925
4937866_Ureidoglycolate_lyase	0.028571429	0.030769231	0	0	0.111111111	0	0	0	0	0
4937882_tRNA_2-selenouridine_synthase	0.011111111	0.0125	0	0	0.107142857	0	0	0	0	0
5136675_Dipeptide_permease_D	0.083333333	0.012820513	0	0	0.3	1	1	0	0	0
5136735_Endonuclease_8	0.082352941	0	1	1	0.260869565	0	0	0	0.027027027	1
5136858_Dipeptide_permease_D	0.038961039	0.012658228	0	0	0.444444444	0.070422535	0.058823529	0	0	0
5136891_Endonuclease_8	0	0	0	0	0.052631579	0	0	0	0	0
5136898_Dipeptide_permease_D	0	0	0	0	0.047619048	0	0	0	0	0
5136948_Dipeptide_permease_D	0	0	0	0	0	0	0	0	0	0
5137011_Dipeptide_permease_D	0	0	0	0	0.318181818	0	0	0	0	0
1936238_Aminopeptidase_YpdF	0	0.111111111	0	0	0	0	0	0	0	0
2143565_tRNA1(Val)_(adenine(37)-N6)-methyltransferase	0	0.059701493	0	0	0.259259259	0	0	0	0.019607843	0.052631579
3447961_Mannosyl-D-glycerate_transport/metabolism_system_repressor_MngR	0	0.084507042	0	0	0.416666667	0	0	0	0	0
329065_TorCAD_operon_transcriptional_regulatory_protein_TorR	0	0	0	0	0	0	0	0	0.03125	0
349494_Iron_uptake_system_component_EfeO	0	0	0	0	0	0	0	0	0	0.037037037
349566_Iron_uptake_system_component_EfeO	0	0	0	0	0	0	0	0	0	0
349683_Bifunctional_protein_PutA	0	0	0	0	0	0	0	0	0	0
351412_Protein_PhoH	0	0	0	0	0.2	0	0	0	0.444444444	0.227272727
1245260_Protein_YobA	0	0	0	0	0	0	0	0	0.345454545	0.440677966
1263646_Holliday_junction_ATP-dependent_DNA_helicase_RuvB	0	0	0	0	0.090909091	0.017241379	0.038461538	0	0	0
1272313_Trimethylamine-N-oxide_reductase_2	0	0	0	0	0	0	0	0	0.25	0.1
1834941_Dihydrofolate_synthase/folylpolyglutamate_synthase	0	0	0.384615385	0.375	0.4	0.222222222	0.214285714	0	0	0.4
1834953_Dihydrofolate_synthase/folylpolyglutamate_synthase	0	0	0.5	0	0	0	0.363636364	0	0	0
1834957_Dihydrofolate_synthase/folylpolyglutamate_synthase	0	0	0.5	0	0	0	0.363636364	0	0	0
1834958_Dihydrofolate_synthase/folylpolyglutamate_synthase	0	0	0.5	0	0	0	0.3	0	0	0
2142904_Anti-sigma-E_factor_RseA	0	0	0.045454545	1	0	0.076923077	0.166666667	0	0.083333333	1
2142910_ECF_RNA_polymerase_sigma-E_factor	0	0	0.046511628	1	1	1	0.125	0	0.075471698	1
2394615_Lactaldehyde_reductase	0	0	0	0	0	0	0	0	0	0
2662746_Lactate_utilization_protein_A	0	0	1	1	0.076923077	0	0	0	0.316455696	0.360824742
2690767_Hydrogenase-2_small_chain	0	0	0	0	0	0	0	0	0	0
2786186_Ribosomal_RNA_large_subunit_methyltransferase_G	0	0	0	0	0	0	0	0	0	0
2786540_Ribosomal_RNA_large_subunit_methyltransferase_G	0	0	0	0.015625	0	0	0	0	0.276595745	0.362318841
3286715_Hydrogenase-4_component_A	0	0	0	0	0	0	0	0	0.323076923	0.454545455
3286805_Hydrogenase-4_component_A	0	0	0	0	0	0	0	0	0.333333333	0.333333333
3289903_DNA-binding_transcriptional_repressor_YiaJ	0	0	0	0	0	0	0	0	0.052631579	0.017857143
3290044_DNA-binding_transcriptional_repressor_YiaJ	0	0	1	1	0	0	0	0	0.181818182	0.055555556
3290158_DNA-binding_transcriptional_repressor_YiaJ	0	0	0	0	0	0	0	0	0.192307692	0
3290374_3-keto-L-gulonate-6-phosphate_decarboxylase_SgbH	0	0	1	1	0.086956522	0	0	0	0	0.03125
3290546_3-keto-L-gulonate-6-phosphate_decarboxylase_SgbH	0	0	0	0	0	0	0	0	0	0
3290610_3-keto-L-gulonate-6-phosphate_decarboxylase_SgbH	0	0	1	1	0	0	0	0	1	0.023809524
3290710_3-keto-L-gulonate-6-phosphate_decarboxylase_SgbH	0	0	0	0	0	0	0	0	0.05	0
3290842_3-keto-L-gulonate-6-phosphate_decarboxylase_SgbH	0	0	1	1	0	0	0	0	0.12	0.023809524
3291116_3-keto-L-gulonate-6-phosphate_decarboxylase_SgbH	0	0	1	1	0.142857143	0	0	0	0	0
3291118_3-keto-L-gulonate-6-phosphate_decarboxylase_SgbH	0	0	0	0	0	0	0	0	0	0
3291188_3-keto-L-gulonate-6-phosphate_decarboxylase_SgbH	0	0	0	0	0.117647059	0	0	0	0	0.0078125
3443629_HTH-type_transcriptional_activator_RhaR	0	0	1	1	0	0	0	0	1	0.032608696
3443813_Inner_membrane_protein_YidG	0	0	0	0	0	0	0.01	0	0	0
3444255_HTH-type_transcriptional_activator_RhaR	0	0	0.166666667	0	0	0	0	0	0.2	0.166666667
3444257_Inner_membrane_protein_YidH	0	0	0.166666667	0	0	0	0	0	0.5	0.333333333
3988768_Biodegradative_arginine_decarboxylase	0	0	0	0	0	0	0	0	0.011764706	0
4027099_Inner_membrane_transporter_YjeM	0	0	0	0	0	0	0	0	0.011764706	0.010989011
4027410_Fumarate_reductase_subunit_D	0	0	1	1	0	0	0	0	0.026315789	1
4599136_Flagellar_basal_body_rod_protein_FlgB	0	0	0	0	0	0	0	0	0	0
4621802_DNA_polymerase_IV	0	0	0	0	0.086956522	0	0	0	0	0.039215686
4621943_DNA_polymerase_IV	0	0	0	0	0.111111111	0	0	0	0.246376812	0.387096774
4927049_Inner_membrane_protein_YbbJ	0	0	0	0	0	0	0	0	0.379310345	0.480769231
4938113_Ureidoglycolate_lyase	0	0	0	0	0.103448276	0	0	0	0.05	0
2237031_S-ribosylhomocysteine_lyase	0	0	0	0.111111111	0	0	0	0	0.045454545	0
335036_Curved_DNA-binding_protein	0	0	0	0	0.115384615	0	0.090909091	0	0	0
349386_Bifunctional_protein_PutA	0	0	0	0	0.133333333	0	0	0	0	0
1272196_Trimethylamine-N-oxide_reductase_2	0	0	0	0	0.5	0	0	0	0	0
1834217_Erythronate-4-phosphate_dehydrogenase	0	0	0	0	0.166666667	0.076923077	0.057142857	0	0	0
1834448_Dihydrofolate_synthase/folylpolyglutamate_synthase	0	0	0	0	0.153846154	0.058823529	0.058823529	0	0	0
1834454_Dihydrofolate_synthase/folylpolyglutamate_synthase	0	0	0	0	0.2	0.058823529	0.057971014	0	0.242857143	0.487179487
