ID	Name	Product
GUT_GENOME147598_00042	fdoH	Formate dehydrogenase-O iron-sulfur subunit
GUT_GENOME147598_00043	fdoG_1	Formate dehydrogenase-O major subunit
GUT_GENOME147598_00044	fdoG_2	Formate dehydrogenase-O major subunit
GUT_GENOME147598_00045	fdhD	Sulfur carrier protein FdhD
GUT_GENOME147598_00046	NA	hypothetical protein
GUT_GENOME147598_00047	pfp	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
GUT_GENOME147598_00048	NA	hypothetical protein
GUT_GENOME147598_00049	ulaA_1	Ascorbate-specific PTS system EIIC component
GUT_GENOME147598_00050	fbaA_1	putative fructose-bisphosphate aldolase
GUT_GENOME147598_00051	NA	hypothetical protein
GUT_GENOME147598_00052	ulaC_1	Ascorbate-specific PTS system EIIA component
GUT_GENOME147598_00053	NA	hypothetical protein
GUT_GENOME147598_00054	NA	hypothetical protein
GUT_GENOME147598_00055	NA	hypothetical protein
GUT_GENOME147598_00056	sutR_1	HTH-type transcriptional regulator SutR
GUT_GENOME147598_00057	rafR	HTH-type transcriptional regulator RafR
GUT_GENOME147598_00058	rafA	Alpha-galactosidase
GUT_GENOME147598_00059	melY	Melibiose permease
GUT_GENOME147598_00060	rhaM	L-rhamnose mutarotase
GUT_GENOME147598_00061	adhB	Alcohol dehydrogenase 2
GUT_GENOME147598_00062	lsrD_1	Autoinducer 2 import system permease protein LsrD
GUT_GENOME147598_00063	rbsC_2	Ribose import permease protein RbsC
GUT_GENOME147598_00064	rbsA_2	Ribose import ATP-binding protein RbsA
GUT_GENOME147598_00065	lsrB_1	Autoinducer 2-binding protein LsrB
GUT_GENOME147598_00066	rhaD	Rhamnulose-1-phosphate aldolase
GUT_GENOME147598_00067	rhaA	L-rhamnose isomerase
GUT_GENOME147598_00068	rhaB	L-Rhamnulokinase
GUT_GENOME147598_00069	rhaS_1	HTH-type transcriptional activator RhaS
GUT_GENOME147598_00070	rhaR_1	HTH-type transcriptional activator RhaR
GUT_GENOME147598_00071	rhaT	L-rhamnose-proton symporter
GUT_GENOME147598_00072	sodA	Superoxide dismutase [Mn]
GUT_GENOME147598_00073	yiiM	Protein YiiM
GUT_GENOME147598_00074	cpxA	Sensor histidine kinase CpxA
GUT_GENOME147598_00075	cpxR	Transcriptional regulatory protein CpxR
GUT_GENOME147598_00076	cpxP	Periplasmic protein CpxP
GUT_GENOME147598_00077	fieF_1	Ferrous-iron efflux pump FieF
GUT_GENOME147598_00078	pfkA	ATP-dependent 6-phosphofructokinase isozyme 1
GUT_GENOME147598_00079	rraA	Regulator of ribonuclease activity A
GUT_GENOME147598_00080	menA	1%2C4-dihydroxy-2-naphthoate octaprenyltransferase
GUT_GENOME147598_00081	hslU	ATP-dependent protease ATPase subunit HslU
GUT_GENOME147598_00082	hslV	ATP-dependent protease subunit HslV
GUT_GENOME147598_00083	ftsN	Cell division protein FtsN
GUT_GENOME147598_00084	cytR_1	HTH-type transcriptional repressor CytR
GUT_GENOME147598_00085	priA	Primosomal protein N'
GUT_GENOME147598_00086	rpmE	50S ribosomal protein L31
GUT_GENOME147598_00087	metJ	Met repressor
GUT_GENOME147598_00088	metB	Cystathionine gamma-synthase
GUT_GENOME147598_00089	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2
GUT_GENOME147598_00090	NA	hypothetical protein
GUT_GENOME147598_00091	yfkN	Trifunctional nucleotide phosphoesterase protein YfkN
GUT_GENOME147598_00092	NA	hypothetical protein
GUT_GENOME147598_00093	benM_1	HTH-type transcriptional regulator BenM
GUT_GENOME147598_00094	metF	5%2C10-methylenetetrahydrofolate reductase
GUT_GENOME147598_00095	yijE	putative cystine transporter YijE
GUT_GENOME147598_00096	gldA	Glycerol dehydrogenase
GUT_GENOME147598_00097	fsaB	Fructose-6-phosphate aldolase 2
GUT_GENOME147598_00098	rhaS_2	HTH-type transcriptional activator RhaS
GUT_GENOME147598_00099	zinT	Metal-binding protein ZinT
GUT_GENOME147598_00100	ppc	Phosphoenolpyruvate carboxylase
GUT_GENOME147598_00101	argE	Acetylornithine deacetylase
GUT_GENOME147598_00102	argC	N-acetyl-gamma-glutamyl-phosphate reductase
GUT_GENOME147598_00103	argB	Acetylglutamate kinase
GUT_GENOME147598_00104	argH	Argininosuccinate lyase
GUT_GENOME147598_00105	oxyR_1	Hydrogen peroxide-inducible genes activator
GUT_GENOME147598_00106	sthA	Soluble pyridine nucleotide transhydrogenase
GUT_GENOME147598_00107	fabR	HTH-type transcriptional repressor FabR
GUT_GENOME147598_00108	yijD	Inner membrane protein YijD
GUT_GENOME147598_00109	trmA	tRNA/tmRNA (uracil-C(5))-methyltransferase
GUT_GENOME147598_00110	btuB	Vitamin B12 transporter BtuB
GUT_GENOME147598_00111	murI	Glutamate racemase
GUT_GENOME147598_00112	NA	16S ribosomal RNA
GUT_GENOME147598_00113	NA	tRNA-Ile(gat)
GUT_GENOME147598_00114	NA	tRNA-Ala(tgc)
GUT_GENOME147598_00115	NA	23S ribosomal RNA
GUT_GENOME147598_00116	NA	5S ribosomal RNA
GUT_GENOME147598_00117	NA	tRNA-Asp(gtc)
GUT_GENOME147598_00118	NA	tRNA-Trp(cca)
GUT_GENOME147598_00119	hdfR_1	HTH-type transcriptional regulator HdfR
GUT_GENOME147598_00120	NA	hypothetical protein
GUT_GENOME147598_00121	comM	Competence protein ComM
GUT_GENOME147598_00122	ilvG	Acetolactate synthase isozyme 2 large subunit
GUT_GENOME147598_00123	ilvM	Acetolactate synthase isozyme 2 small subunit
GUT_GENOME147598_00124	ilvE	Branched-chain-amino-acid aminotransferase
GUT_GENOME147598_00125	ilvD	Dihydroxy-acid dehydratase
GUT_GENOME147598_00126	ilvA	L-threonine dehydratase biosynthetic IlvA
GUT_GENOME147598_00127	oxyR_2	Hydrogen peroxide-inducible genes activator
GUT_GENOME147598_00128	ilvC	Ketol-acid reductoisomerase (NADP(+))
GUT_GENOME147598_00129	ppiC_1	Peptidyl-prolyl cis-trans isomerase C
GUT_GENOME147598_00130	ppiC_2	Peptidyl-prolyl cis-trans isomerase C
GUT_GENOME147598_00131	rep	ATP-dependent DNA helicase Rep
GUT_GENOME147598_00132	ydfK_1	putative membrane protein YdfK
GUT_GENOME147598_00133	NA	IS5 family transposase ISKpn26
GUT_GENOME147598_00134	pcpR_1	PCP degradation transcriptional activation protein
GUT_GENOME147598_00135	gppA	Guanosine-5'-triphosphate%2C3'-diphosphate pyrophosphatase
GUT_GENOME147598_00136	rhlB	ATP-dependent RNA helicase RhlB
GUT_GENOME147598_00137	trxA	Thioredoxin 1
GUT_GENOME147598_00138	rho	Transcription termination factor Rho
GUT_GENOME147598_00139	wecA	Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
GUT_GENOME147598_00140	wzzE	ECA polysaccharide chain length modulation protein
GUT_GENOME147598_00141	wecB	UDP-N-acetylglucosamine 2-epimerase
GUT_GENOME147598_00142	wecC	UDP-N-acetyl-D-mannosamine dehydrogenase
GUT_GENOME147598_00143	rffG	dTDP-glucose 4%2C6-dehydratase 2
GUT_GENOME147598_00144	rffH	Glucose-1-phosphate thymidylyltransferase 2
GUT_GENOME147598_00145	wecD	dTDP-fucosamine acetyltransferase
GUT_GENOME147598_00146	wecE	dTDP-4-amino-4%2C6-dideoxygalactose transaminase
GUT_GENOME147598_00147	wzxE	Lipid III flippase
GUT_GENOME147598_00148	wecF	TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase
GUT_GENOME147598_00149	wzyE	putative ECA polymerase
GUT_GENOME147598_00150	wecG	UDP-N-acetyl-D-mannosaminuronic acid transferase
GUT_GENOME147598_00151	yifK	putative transport protein YifK
GUT_GENOME147598_00152	NA	tRNA-Arg(ccg)
GUT_GENOME147598_00153	NA	tRNA-His(gtg)
GUT_GENOME147598_00154	NA	tRNA-Leu(cag)
GUT_GENOME147598_00155	NA	tRNA-Pro(tgg)
GUT_GENOME147598_00156	hemY	Protein HemY
GUT_GENOME147598_00157	hemX	Protein HemX
GUT_GENOME147598_00158	hemD	Uroporphyrinogen-III synthase
GUT_GENOME147598_00159	hemC	Porphobilinogen deaminase
GUT_GENOME147598_00160	cyaA	Adenylate cyclase
GUT_GENOME147598_00161	cyaY	Iron-sulfur cluster assembly protein CyaY
GUT_GENOME147598_00162	NA	hypothetical protein
GUT_GENOME147598_00163	dapF	Diaminopimelate epimerase
GUT_GENOME147598_00164	NA	hypothetical protein
GUT_GENOME147598_00165	xerC_1	Tyrosine recombinase XerC
GUT_GENOME147598_00166	yigB	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB
GUT_GENOME147598_00167	uvrD	DNA helicase II
GUT_GENOME147598_00168	corA	Magnesium transport protein CorA
GUT_GENOME147598_00169	rarD	Protein RarD
GUT_GENOME147598_00170	NA	hypothetical protein
GUT_GENOME147598_00171	pldA	Phospholipase A1
GUT_GENOME147598_00172	recQ	ATP-dependent DNA helicase RecQ
GUT_GENOME147598_00173	rhtC_1	Threonine efflux protein
GUT_GENOME147598_00174	NA	ISNCY family transposase ISRor2
GUT_GENOME147598_00175	rhtB_1	Homoserine/homoserine lactone efflux protein
GUT_GENOME147598_00176	pldB	Lysophospholipase L2
GUT_GENOME147598_00177	yigL	Pyridoxal phosphate phosphatase YigL
GUT_GENOME147598_00178	NA	hypothetical protein
GUT_GENOME147598_00179	metR	HTH-type transcriptional regulator MetR
GUT_GENOME147598_00180	metE	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
GUT_GENOME147598_00181	clcD	Carboxymethylenebutenolidase
GUT_GENOME147598_00182	udp	Uridine phosphorylase
GUT_GENOME147598_00183	NA	hypothetical protein
GUT_GENOME147598_00184	ubiE	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
GUT_GENOME147598_00185	NA	hypothetical protein
GUT_GENOME147598_00186	ubiB	putative protein kinase UbiB
GUT_GENOME147598_00187	tatA	Sec-independent protein translocase protein TatA
GUT_GENOME147598_00188	tatB	Sec-independent protein translocase protein TatB
GUT_GENOME147598_00189	tatC	Sec-independent protein translocase protein TatC
GUT_GENOME147598_00190	tatD	3'-5' ssDNA/RNA exonuclease TatD
GUT_GENOME147598_00191	rfaH	Transcription antitermination protein RfaH
GUT_GENOME147598_00192	ubiD	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
GUT_GENOME147598_00193	fre	NAD(P)H-flavin reductase
GUT_GENOME147598_00194	fadA	3-ketoacyl-CoA thiolase
GUT_GENOME147598_00195	fadB	Fatty acid oxidation complex subunit alpha
GUT_GENOME147598_00196	pepQ	Xaa-Pro dipeptidase
GUT_GENOME147598_00197	yigZ	IMPACT family member YigZ
GUT_GENOME147598_00198	trkH	Trk system potassium uptake protein TrkH
GUT_GENOME147598_00199	hemG	Protoporphyrinogen IX dehydrogenase [menaquinone]
GUT_GENOME147598_00200	NA	16S ribosomal RNA
GUT_GENOME147598_00201	NA	tRNA-Ile(gat)
GUT_GENOME147598_00202	NA	tRNA-Ala(tgc)
GUT_GENOME147598_00203	NA	23S ribosomal RNA
GUT_GENOME147598_00204	NA	5S ribosomal RNA
GUT_GENOME147598_00205	murB	UDP-N-acetylenolpyruvoylglucosamine reductase
GUT_GENOME147598_00206	birA	Bifunctional ligase/repressor BirA
GUT_GENOME147598_00207	coaA	Pantothenate kinase
GUT_GENOME147598_00208	NA	tRNA-Thr(tgt)
GUT_GENOME147598_00209	NA	tRNA-Tyr(gta)
GUT_GENOME147598_00210	NA	tRNA-Gly(tcc)
GUT_GENOME147598_00211	NA	tRNA-Thr(ggt)
GUT_GENOME147598_00212	tufA_1	Elongation factor Tu 1
GUT_GENOME147598_00213	secE	Protein translocase subunit SecE
GUT_GENOME147598_00214	nusG	Transcription termination/antitermination protein NusG
GUT_GENOME147598_00215	rplK	50S ribosomal protein L11
GUT_GENOME147598_00216	rplA	50S ribosomal protein L1
GUT_GENOME147598_00217	rplJ	50S ribosomal protein L10
GUT_GENOME147598_00218	rplL	50S ribosomal protein L7/L12
GUT_GENOME147598_00219	rpoB	DNA-directed RNA polymerase subunit beta
GUT_GENOME147598_00220	rpoC	DNA-directed RNA polymerase subunit beta'
GUT_GENOME147598_00221	dcuB	Anaerobic C4-dicarboxylate transporter DcuB
GUT_GENOME147598_00222	chbA_1	PTS system N%2CN'-diacetylchitobiose-specific EIIA component
GUT_GENOME147598_00223	celA_1	PTS system cellobiose-specific EIIB component
GUT_GENOME147598_00224	NA	hypothetical protein
GUT_GENOME147598_00225	thiH	2-iminoacetate synthase
GUT_GENOME147598_00226	thiG	Thiazole synthase
GUT_GENOME147598_00227	thiS	Sulfur carrier protein ThiS
GUT_GENOME147598_00228	thiF	Sulfur carrier protein ThiS adenylyltransferase
GUT_GENOME147598_00229	thiE	Thiamine-phosphate synthase
GUT_GENOME147598_00230	thiC	Phosphomethylpyrimidine synthase
GUT_GENOME147598_00231	rsd	Regulator of sigma D
GUT_GENOME147598_00232	nudC	NADH pyrophosphatase
GUT_GENOME147598_00233	hemE	Uroporphyrinogen decarboxylase
GUT_GENOME147598_00234	nfi	Endonuclease V
GUT_GENOME147598_00235	NA	putative protein
GUT_GENOME147598_00236	hupA	DNA-binding protein HU-alpha
GUT_GENOME147598_00237	NA	hypothetical protein
GUT_GENOME147598_00238	zraP	Zinc resistance-associated protein
GUT_GENOME147598_00239	zraS	Sensor protein ZraS
GUT_GENOME147598_00240	zraR	Transcriptional regulatory protein ZraR
GUT_GENOME147598_00241	purD	Phosphoribosylamine--glycine ligase
GUT_GENOME147598_00242	purH	Bifunctional purine biosynthesis protein PurH
GUT_GENOME147598_00243	NA	hypothetical protein
GUT_GENOME147598_00244	NA	16S ribosomal RNA
GUT_GENOME147598_00245	NA	tRNA-Glu(ttc)
GUT_GENOME147598_00246	NA	23S ribosomal RNA
GUT_GENOME147598_00247	NA	5S ribosomal RNA
GUT_GENOME147598_00248	yjaB_1	putative N-acetyltransferase YjaB
GUT_GENOME147598_00249	metAS	Homoserine O-succinyltransferase
GUT_GENOME147598_00250	aceB	Malate synthase A
GUT_GENOME147598_00251	aceA	Isocitrate lyase
GUT_GENOME147598_00252	aceK	Isocitrate dehydrogenase kinase/phosphatase
GUT_GENOME147598_00253	iclR	Transcriptional repressor IclR
GUT_GENOME147598_00254	metH	Methionine synthase
GUT_GENOME147598_00255	NA	hypothetical protein
GUT_GENOME147598_00256	sdhL	Shikimate dehydrogenase-like protein
GUT_GENOME147598_00257	yggP	Mannitol-1-phosphate 5-dehydrogenase
GUT_GENOME147598_00258	sorM	PTS system sorbose-specific EIID component
GUT_GENOME147598_00259	sorA	PTS system sorbose-specific EIIC component
GUT_GENOME147598_00260	sorB_1	PTS system sorbose-specific EIIB component
GUT_GENOME147598_00261	sorF	PTS system sorbose-specific EIIA component
GUT_GENOME147598_00262	bacC	Dihydroanticapsin 7-dehydrogenase
GUT_GENOME147598_00263	sorC_1	Sorbitol operon regulator
GUT_GENOME147598_00264	rluF	23S rRNA pseudouridine(2604) synthase
GUT_GENOME147598_00265	NA	hypothetical protein
GUT_GENOME147598_00266	panS	Pantothenate precursors transporter PanS
GUT_GENOME147598_00267	lysC	Lysine-sensitive aspartokinase 3
GUT_GENOME147598_00268	pgi	Glucose-6-phosphate isomerase
GUT_GENOME147598_00269	fdtC	dTDP-3-amino-3%2C6-dideoxy-alpha-D-galactopyranose 3-N-acetyltransferase
GUT_GENOME147598_00270	NA	hypothetical protein
GUT_GENOME147598_00271	ridA_1	2-iminobutanoate/2-iminopropanoate deaminase
GUT_GENOME147598_00272	NA	hypothetical protein
GUT_GENOME147598_00273	NA	hypothetical protein
GUT_GENOME147598_00274	ygaZ_1	Inner membrane protein YgaZ
GUT_GENOME147598_00275	NA	hypothetical protein
GUT_GENOME147598_00276	psiE	Protein PsiE
GUT_GENOME147598_00277	malG_1	Maltose transport system permease protein MalG
GUT_GENOME147598_00278	malF	Maltose transport system permease protein MalF
GUT_GENOME147598_00279	malE	Maltose-binding periplasmic protein
GUT_GENOME147598_00280	malK_1	Maltose/maltodextrin import ATP-binding protein MalK
GUT_GENOME147598_00281	lamB_1	Maltoporin
GUT_GENOME147598_00282	NA	hypothetical protein
GUT_GENOME147598_00283	ubiC	Chorismate pyruvate-lyase
GUT_GENOME147598_00284	ubiA	4-hydroxybenzoate octaprenyltransferase
GUT_GENOME147598_00285	plsB	Glycerol-3-phosphate acyltransferase
GUT_GENOME147598_00286	dgkA	Diacylglycerol kinase
GUT_GENOME147598_00287	lexA	LexA repressor
GUT_GENOME147598_00288	dinF	DNA damage-inducible protein F
GUT_GENOME147598_00289	NA	hypothetical protein
GUT_GENOME147598_00290	zur	Zinc uptake regulation protein
GUT_GENOME147598_00291	NA	hypothetical protein
GUT_GENOME147598_00292	dusA	tRNA-dihydrouridine(20/20a) synthase
GUT_GENOME147598_00293	pspG	Phage shock protein G
GUT_GENOME147598_00294	qorA	Quinone oxidoreductase 1
GUT_GENOME147598_00295	dnaB_1	Replicative DNA helicase
GUT_GENOME147598_00296	alr	Alanine racemase%2C biosynthetic
GUT_GENOME147598_00297	tyrB_1	Tyrosine aminotransferase
GUT_GENOME147598_00298	aphA	Class B acid phosphatase
GUT_GENOME147598_00299	NA	hypothetical protein
GUT_GENOME147598_00300	yjbR	putative protein YjbR
GUT_GENOME147598_00301	uvrA	UvrABC system protein A
GUT_GENOME147598_00302	ssb_1	Single-stranded DNA-binding protein
GUT_GENOME147598_00303	mltF_1	Membrane-bound lytic murein transglycosylase F
GUT_GENOME147598_00304	fepA_1	Ferrienterobactin receptor
GUT_GENOME147598_00305	soxS_1	Regulatory protein SoxS
GUT_GENOME147598_00306	NA	Mono(2-hydroxyethyl) terephthalate hydrolase
GUT_GENOME147598_00307	bamA_1	Outer membrane protein assembly factor BamA
GUT_GENOME147598_00308	iraM	Anti-adapter protein IraM
GUT_GENOME147598_00309	suhB_1	Inositol-1-monophosphatase
GUT_GENOME147598_00310	ccpA	Catabolite control protein A
GUT_GENOME147598_00311	rbn_1	Ribonuclease BN
GUT_GENOME147598_00312	btuD_1	Vitamin B12 import ATP-binding protein BtuD
GUT_GENOME147598_00313	NA	hypothetical protein
GUT_GENOME147598_00314	NA	hypothetical protein
GUT_GENOME147598_00315	NA	hypothetical protein
GUT_GENOME147598_00316	NA	hypothetical protein
GUT_GENOME147598_00317	pdeC	putative cyclic di-GMP phosphodiesterase PdeC
GUT_GENOME147598_00318	soxS_2	Regulatory protein SoxS
GUT_GENOME147598_00319	soxR	Redox-sensitive transcriptional activator SoxR
GUT_GENOME147598_00320	NA	hypothetical protein
GUT_GENOME147598_00321	ghxP	Guanine/hypoxanthine permease GhxP
GUT_GENOME147598_00322	nhaK	Sodium%2C potassium%2C lithium and rubidium/H(+) antiporter
GUT_GENOME147598_00323	oxyR_3	Hydrogen peroxide-inducible genes activator
GUT_GENOME147598_00324	cidA	Holin-like protein CidA
GUT_GENOME147598_00325	yohK_1	Inner membrane protein YohK
GUT_GENOME147598_00326	ycbV	putative fimbrial-like protein YcbV
GUT_GENOME147598_00327	lpfB_1	putative fimbrial chaperone LpfB
GUT_GENOME147598_00328	fimD_1	Outer membrane usher protein FimD
GUT_GENOME147598_00329	NA	hypothetical protein
GUT_GENOME147598_00330	NA	hypothetical protein
GUT_GENOME147598_00331	actP_1	Cation/acetate symporter ActP
GUT_GENOME147598_00332	yjcH	Inner membrane protein YjcH
GUT_GENOME147598_00333	acs	Acetyl-coenzyme A synthetase
GUT_GENOME147598_00334	gltP	Proton/glutamate-aspartate symporter
GUT_GENOME147598_00335	NA	hypothetical protein
GUT_GENOME147598_00336	fdhF_1	Formate dehydrogenase H
GUT_GENOME147598_00337	fdhF_2	Formate dehydrogenase H
GUT_GENOME147598_00338	ompR_1	Transcriptional regulatory protein OmpR
GUT_GENOME147598_00339	NA	hypothetical protein
GUT_GENOME147598_00340	NA	hypothetical protein
GUT_GENOME147598_00341	rbsK_2	Ribokinase
GUT_GENOME147598_00342	rbsB_2	Ribose import binding protein RbsB
GUT_GENOME147598_00343	rbsC_3	Ribose import permease protein RbsC
GUT_GENOME147598_00344	rbsA_3	Ribose import ATP-binding protein RbsA
GUT_GENOME147598_00345	rcsC_1	Sensor histidine kinase RcsC
GUT_GENOME147598_00346	NA	hypothetical protein
GUT_GENOME147598_00347	phnP	Phosphoribosyl 1%2C2-cyclic phosphate phosphodiesterase
GUT_GENOME147598_00348	phnN	Ribose 1%2C5-bisphosphate phosphokinase PhnN
GUT_GENOME147598_00349	phnM	Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase
GUT_GENOME147598_00350	phnL	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL
GUT_GENOME147598_00351	phnK	Putative phosphonates utilization ATP-binding protein PhnK
GUT_GENOME147598_00352	phnJ	Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase
GUT_GENOME147598_00353	phnI	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI
GUT_GENOME147598_00354	phnH	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH
GUT_GENOME147598_00355	phnG	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG
GUT_GENOME147598_00356	phnF	putative transcriptional regulator PhnF
GUT_GENOME147598_00357	NA	hypothetical protein
GUT_GENOME147598_00358	NA	hypothetical protein
GUT_GENOME147598_00359	proP_1	Proline/betaine transporter
GUT_GENOME147598_00360	melR	Melibiose operon regulatory protein
GUT_GENOME147598_00361	melA	Alpha-galactosidase
GUT_GENOME147598_00362	melB	Melibiose carrier protein
GUT_GENOME147598_00363	parM_1	Plasmid segregation protein ParM
GUT_GENOME147598_00364	NA	hypothetical protein
GUT_GENOME147598_00365	NA	IS3 family transposase ISKpn1
GUT_GENOME147598_00366	NA	IS3 family transposase ISKpn1
GUT_GENOME147598_00367	cbpM	Chaperone modulatory protein CbpM
GUT_GENOME147598_00368	cbpA	Curved DNA-binding protein
GUT_GENOME147598_00369	NA	hypothetical protein
GUT_GENOME147598_00370	NA	hypothetical protein
GUT_GENOME147598_00371	NA	hypothetical protein
GUT_GENOME147598_00372	pgaC	Poly-beta-1%2C6-N-acetyl-D-glucosamine synthase
GUT_GENOME147598_00373	pgaB	Poly-beta-1%2C6-N-acetyl-D-glucosamine N-deacetylase
GUT_GENOME147598_00374	pgaA	Poly-beta-1%2C6-N-acetyl-D-glucosamine export protein
GUT_GENOME147598_00375	NA	hypothetical protein
GUT_GENOME147598_00376	NA	hypothetical protein
GUT_GENOME147598_00377	NA	IS3 family transposase ISKpn1
GUT_GENOME147598_00378	NA	IS3 family transposase ISKpn1
GUT_GENOME147598_00379	NA	tRNA-Phe(gaa)
GUT_GENOME147598_00380	NA	hypothetical protein
GUT_GENOME147598_00381	NA	hypothetical protein
GUT_GENOME147598_00382	dsbD_1	Thiol:disulfide interchange protein DsbD
GUT_GENOME147598_00383	cutA	Divalent-cation tolerance protein CutA
GUT_GENOME147598_00384	dcuA	Anaerobic C4-dicarboxylate transporter DcuA
GUT_GENOME147598_00385	aspA	Aspartate ammonia-lyase
GUT_GENOME147598_00386	NA	hypothetical protein
GUT_GENOME147598_00387	yjeH	L-methionine/branched-chain amino acid exporter YjeH
GUT_GENOME147598_00388	groS	10 kDa chaperonin
GUT_GENOME147598_00389	groL	60 kDa chaperonin
GUT_GENOME147598_00390	NA	hypothetical protein
GUT_GENOME147598_00391	NA	hypothetical protein
GUT_GENOME147598_00392	hlyB	Alpha-hemolysin translocation ATP-binding protein HlyB
GUT_GENOME147598_00393	cvaA	Colicin V secretion protein CvaA
GUT_GENOME147598_00394	NA	hypothetical protein
GUT_GENOME147598_00395	NA	hypothetical protein
GUT_GENOME147598_00396	NA	hypothetical protein
GUT_GENOME147598_00397	elfC	putative outer membrane usher protein ElfC
GUT_GENOME147598_00398	fimC_1	Chaperone protein FimC
GUT_GENOME147598_00399	NA	hypothetical protein
GUT_GENOME147598_00400	NA	IS5 family transposase ISKpn26
GUT_GENOME147598_00401	NA	hypothetical protein
GUT_GENOME147598_00402	epmB	L-lysine 2%2C3-aminomutase
GUT_GENOME147598_00403	efp	Elongation factor P
GUT_GENOME147598_00404	NA	hypothetical protein
GUT_GENOME147598_00405	NA	hypothetical protein
GUT_GENOME147598_00406	sugE	Quaternary ammonium compound-resistance protein SugE
GUT_GENOME147598_00407	blc_1	Outer membrane lipoprotein Blc
GUT_GENOME147598_00408	frdD	Fumarate reductase subunit D
GUT_GENOME147598_00409	frdC	Fumarate reductase subunit C
GUT_GENOME147598_00410	frdB	Fumarate reductase iron-sulfur subunit
GUT_GENOME147598_00411	frdA	Fumarate reductase flavoprotein subunit
GUT_GENOME147598_00412	epmA	Elongation factor P--(R)-beta-lysine ligase
GUT_GENOME147598_00413	yjeM	Inner membrane transporter YjeM
GUT_GENOME147598_00414	mscM	Miniconductance mechanosensitive channel MscM
GUT_GENOME147598_00415	psd	Phosphatidylserine decarboxylase proenzyme
GUT_GENOME147598_00416	rsgA	Small ribosomal subunit biogenesis GTPase RsgA
