	ID	Name	Product
118	GUT_GENOME144544_00118	gstB_1	Glutathione S-transferase GstB
119	GUT_GENOME144544_00119	dacC	D-alanyl-D-alanine carboxypeptidase DacC
120	GUT_GENOME144544_00120	deoR	Deoxyribose operon repressor
121	GUT_GENOME144544_00121	ybjG	Putative undecaprenyl-diphosphatase YbjG
122	GUT_GENOME144544_00122	mdfA	Multidrug transporter MdfA
123	GUT_GENOME144544_00123	NA	hypothetical protein
124	GUT_GENOME144544_00124	ybjI	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI
125	GUT_GENOME144544_00125	ybjJ	Inner membrane protein YbjJ
126	GUT_GENOME144544_00126	rcdA	HTH-type transcriptional regulator RcdA
127	GUT_GENOME144544_00127	xerD_1	Tyrosine recombinase XerD
128	GUT_GENOME144544_00128	NA	hypothetical protein
129	GUT_GENOME144544_00129	NA	hypothetical protein
130	GUT_GENOME144544_00130	NA	hypothetical protein
131	GUT_GENOME144544_00131	NA	hypothetical protein
132	GUT_GENOME144544_00132	NA	hypothetical protein
133	GUT_GENOME144544_00133	NA	hypothetical protein
134	GUT_GENOME144544_00134	NA	hypothetical protein
135	GUT_GENOME144544_00135	NA	hypothetical protein
136	GUT_GENOME144544_00136	ybiI_2	putative protein YbiI
137	GUT_GENOME144544_00137	dam_1	DNA adenine methylase
138	GUT_GENOME144544_00138	NA	hypothetical protein
139	GUT_GENOME144544_00139	NA	hypothetical protein
140	GUT_GENOME144544_00140	NA	hypothetical protein
141	GUT_GENOME144544_00141	NA	hypothetical protein
142	GUT_GENOME144544_00142	NA	hypothetical protein
143	GUT_GENOME144544_00143	NA	hypothetical protein
144	GUT_GENOME144544_00144	NA	hypothetical protein
145	GUT_GENOME144544_00145	NA	hypothetical protein
146	GUT_GENOME144544_00146	NA	hypothetical protein
147	GUT_GENOME144544_00147	NA	hypothetical protein
148	GUT_GENOME144544_00148	NA	hypothetical protein
149	GUT_GENOME144544_00149	NA	hypothetical protein
150	GUT_GENOME144544_00150	NA	hypothetical protein
151	GUT_GENOME144544_00151	NA	hypothetical protein
152	GUT_GENOME144544_00152	NA	hypothetical protein
153	GUT_GENOME144544_00153	NA	hypothetical protein
154	GUT_GENOME144544_00154	NA	hypothetical protein
155	GUT_GENOME144544_00155	NA	hypothetical protein
156	GUT_GENOME144544_00156	NA	hypothetical protein
157	GUT_GENOME144544_00157	NA	hypothetical protein
158	GUT_GENOME144544_00158	NA	hypothetical protein
159	GUT_GENOME144544_00159	NA	hypothetical protein
160	GUT_GENOME144544_00160	NA	hypothetical protein
161	GUT_GENOME144544_00161	NA	hypothetical protein
162	GUT_GENOME144544_00162	NA	hypothetical protein
163	GUT_GENOME144544_00163	NA	hypothetical protein
164	GUT_GENOME144544_00164	gpFI_1	Putative prophage major tail sheath protein
165	GUT_GENOME144544_00165	NA	hypothetical protein
166	GUT_GENOME144544_00166	NA	hypothetical protein
167	GUT_GENOME144544_00167	NA	hypothetical protein
168	GUT_GENOME144544_00168	NA	hypothetical protein
169	GUT_GENOME144544_00169	NA	hypothetical protein
170	GUT_GENOME144544_00170	NA	hypothetical protein
171	GUT_GENOME144544_00171	aspT_1	Aspartate/alanine antiporter
172	GUT_GENOME144544_00172	ybjM	Inner membrane protein YbjM
173	GUT_GENOME144544_00173	grxA	Glutaredoxin 1
174	GUT_GENOME144544_00174	NA	hypothetical protein
175	GUT_GENOME144544_00175	nfsA	Oxygen-insensitive NADPH nitroreductase
176	GUT_GENOME144544_00176	rimK	Ribosomal protein S6--L-glutamate ligase
177	GUT_GENOME144544_00177	ybjN	putative protein YbjN
178	GUT_GENOME144544_00178	potF	Putrescine-binding periplasmic protein
179	GUT_GENOME144544_00179	potA_1	Spermidine/putrescine import ATP-binding protein PotA
180	GUT_GENOME144544_00180	potH	Putrescine transport system permease protein PotH
181	GUT_GENOME144544_00181	ydcV_1	Inner membrane ABC transporter permease protein YdcV
182	GUT_GENOME144544_00182	ybjO	Inner membrane protein YbjO
183	GUT_GENOME144544_00183	rlmC	23S rRNA (uracil(747)-C(5))-methyltransferase RlmC
184	GUT_GENOME144544_00184	artJ	ABC transporter arginine-binding protein 1
185	GUT_GENOME144544_00185	artM_1	Arginine ABC transporter permease protein ArtM
186	GUT_GENOME144544_00186	artQ	Arginine ABC transporter permease protein ArtQ
187	GUT_GENOME144544_00187	artI	Putative ABC transporter arginine-binding protein 2
188	GUT_GENOME144544_00188	artP	Arginine transport ATP-binding protein ArtP
189	GUT_GENOME144544_00189	ybjP	putative lipoprotein YbjP
190	GUT_GENOME144544_00190	NA	hypothetical protein
191	GUT_GENOME144544_00191	NA	hypothetical protein
192	GUT_GENOME144544_00192	amiD	N-acetylmuramoyl-L-alanine amidase AmiD
193	GUT_GENOME144544_00193	auaH	Aurachin B dehydrogenase
194	GUT_GENOME144544_00194	NA	hypothetical protein
195	GUT_GENOME144544_00195	ltaE	Low specificity L-threonine aldolase
196	GUT_GENOME144544_00196	poxB	Pyruvate dehydrogenase [ubiquinone]
197	GUT_GENOME144544_00197	hcr	NADH oxidoreductase HCR
198	GUT_GENOME144544_00198	hcp	Hydroxylamine reductase
199	GUT_GENOME144544_00199	lysO	Lysine exporter LysO
200	GUT_GENOME144544_00200	NA	hypothetical protein
201	GUT_GENOME144544_00201	aqpZ	Aquaporin Z
202	GUT_GENOME144544_00202	NA	hypothetical protein
203	GUT_GENOME144544_00203	NA	hypothetical protein
204	GUT_GENOME144544_00204	macA	Macrolide export protein MacA
205	GUT_GENOME144544_00205	macB	Macrolide export ATP-binding/permease protein MacB
206	GUT_GENOME144544_00206	cspD	Cold shock-like protein CspD
207	GUT_GENOME144544_00207	clpS	ATP-dependent Clp protease adapter protein ClpS
208	GUT_GENOME144544_00208	clpA	ATP-dependent Clp protease ATP-binding subunit ClpA
209	GUT_GENOME144544_00209	NA	tRNA-Ser(gga)
210	GUT_GENOME144544_00210	infA	Translation initiation factor IF-1
211	GUT_GENOME144544_00211	aat	Leucyl/phenylalanyl-tRNA--protein transferase
212	GUT_GENOME144544_00212	msbA_1	Lipid A export ATP-binding/permease protein MsbA
213	GUT_GENOME144544_00213	cydD	ATP-binding/permease protein CydD
214	GUT_GENOME144544_00214	trxB	Thioredoxin reductase
215	GUT_GENOME144544_00215	lrp	Leucine-responsive regulatory protein
216	GUT_GENOME144544_00216	ftsK	DNA translocase FtsK
217	GUT_GENOME144544_00217	lolA	Outer-membrane lipoprotein carrier protein
218	GUT_GENOME144544_00218	rarA	Replication-associated recombination protein A
219	GUT_GENOME144544_00219	serS	Serine--tRNA ligase
220	GUT_GENOME144544_00220	dmsA	Dimethyl sulfoxide reductase DmsA
221	GUT_GENOME144544_00221	dmsB_1	Anaerobic dimethyl sulfoxide reductase chain B
222	GUT_GENOME144544_00222	dmsC_1	Anaerobic dimethyl sulfoxide reductase chain C
223	GUT_GENOME144544_00223	ycaC	putative hydrolase YcaC
224	GUT_GENOME144544_00224	ycaD	putative MFS-type transporter YcaD
225	GUT_GENOME144544_00225	ycaM	Inner membrane transporter YcaM
226	GUT_GENOME144544_00226	pgrR_1	HTH-type transcriptional regulator PgrR
227	GUT_GENOME144544_00227	azoR_1	FMN-dependent NADH-azoreductase
228	GUT_GENOME144544_00228	pflA	Pyruvate formate-lyase 1-activating enzyme
229	GUT_GENOME144544_00229	pflB	Formate acetyltransferase 1
230	GUT_GENOME144544_00230	NA	hypothetical protein
231	GUT_GENOME144544_00231	ycaO	Ribosomal protein S12 methylthiotransferase accessory factor YcaO
232	GUT_GENOME144544_00232	NA	hypothetical protein
233	GUT_GENOME144544_00233	serC	Phosphoserine aminotransferase
234	GUT_GENOME144544_00234	aroA	3-phosphoshikimate 1-carboxyvinyltransferase
235	GUT_GENOME144544_00235	ycaL	putative metalloprotease YcaL
236	GUT_GENOME144544_00236	cmk	Cytidylate kinase
237	GUT_GENOME144544_00237	rpsA	30S ribosomal protein S1
238	GUT_GENOME144544_00238	ihfB	Integration host factor subunit beta
239	GUT_GENOME144544_00239	NA	hypothetical protein
240	GUT_GENOME144544_00240	msbA_2	Lipid A export ATP-binding/permease protein MsbA
241	GUT_GENOME144544_00241	lpxK	Tetraacyldisaccharide 4'-kinase
242	GUT_GENOME144544_00242	NA	hypothetical protein
243	GUT_GENOME144544_00243	NA	hypothetical protein
244	GUT_GENOME144544_00244	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase
245	GUT_GENOME144544_00245	NA	hypothetical protein
246	GUT_GENOME144544_00246	NA	hypothetical protein
247	GUT_GENOME144544_00247	cmoM	tRNA 5-carboxymethoxyuridine methyltransferase
248	GUT_GENOME144544_00248	mukF	Chromosome partition protein MukF
249	GUT_GENOME144544_00249	mukE	Chromosome partition protein MukE
250	GUT_GENOME144544_00250	mukB	Chromosome partition protein MukB
251	GUT_GENOME144544_00251	NA	hypothetical protein
252	GUT_GENOME144544_00252	NA	hypothetical protein
253	GUT_GENOME144544_00253	gloC	Hydroxyacylglutathione hydrolase GloC
254	GUT_GENOME144544_00254	aspC	Aspartate aminotransferase
255	GUT_GENOME144544_00255	ompF	Outer membrane protein F
256	GUT_GENOME144544_00256	asnS	Asparagine--tRNA ligase
257	GUT_GENOME144544_00257	pncB	Nicotinate phosphoribosyltransferase
258	GUT_GENOME144544_00258	pepN	Aminopeptidase N
259	GUT_GENOME144544_00259	ssuB	Aliphatic sulfonates import ATP-binding protein SsuB
260	GUT_GENOME144544_00260	ssuC_1	Putative aliphatic sulfonates transport permease protein SsuC
261	GUT_GENOME144544_00261	ssuD	Alkanesulfonate monooxygenase
262	GUT_GENOME144544_00262	ssuA	Putative aliphatic sulfonates-binding protein
263	GUT_GENOME144544_00263	ssuE	FMN reductase (NADPH)
264	GUT_GENOME144544_00264	elfA	Fimbrial subunit ElfA
265	GUT_GENOME144544_00265	elfD	putative fimbrial chaperone protein ElfD
266	GUT_GENOME144544_00266	elfC_1	putative outer membrane usher protein ElfC
267	GUT_GENOME144544_00267	elfG	putative fimbrial-like protein ElfG
268	GUT_GENOME144544_00268	ycbU	putative fimbrial-like protein YcbU
269	GUT_GENOME144544_00269	ycbV	putative fimbrial-like protein YcbV
270	GUT_GENOME144544_00270	ycbF	putative fimbrial chaperone YcbF
271	GUT_GENOME144544_00271	pyrD	Dihydroorotate dehydrogenase (quinone)
272	GUT_GENOME144544_00272	zapC	Cell division protein ZapC
273	GUT_GENOME144544_00273	ycbX	putative protein YcbX
274	GUT_GENOME144544_00274	rlmL	Ribosomal RNA large subunit methyltransferase K/L
275	GUT_GENOME144544_00275	uup	ABC transporter ATP-binding protein uup
276	GUT_GENOME144544_00276	pqiA	Paraquat-inducible protein A
277	GUT_GENOME144544_00277	pqiB	Paraquat-inducible protein B
278	GUT_GENOME144544_00278	NA	hypothetical protein
279	GUT_GENOME144544_00279	rmf	Ribosome modulation factor
280	GUT_GENOME144544_00280	fabA	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
281	GUT_GENOME144544_00281	lon_1	Lon protease
282	GUT_GENOME144544_00282	matP	Macrodomain Ter protein
283	GUT_GENOME144544_00283	ompA	Outer membrane protein A
284	GUT_GENOME144544_00284	sulA	Cell division inhibitor SulA
285	GUT_GENOME144544_00285	sxy	Protein Sxy
286	GUT_GENOME144544_00286	yccS	Inner membrane protein YccS
287	GUT_GENOME144544_00287	yccF	Inner membrane protein YccF
288	GUT_GENOME144544_00288	helD	DNA helicase IV
289	GUT_GENOME144544_00289	mgsA	Methylglyoxal synthase
290	GUT_GENOME144544_00290	NA	hypothetical protein
291	GUT_GENOME144544_00291	yccU	putative protein YccU
292	GUT_GENOME144544_00292	hspQ	Heat shock protein HspQ
293	GUT_GENOME144544_00293	rlmI	Ribosomal RNA large subunit methyltransferase I
294	GUT_GENOME144544_00294	yccX	Acylphosphatase
295	GUT_GENOME144544_00295	tusE	Sulfurtransferase TusE
296	GUT_GENOME144544_00296	yccA	Modulator of FtsH protease YccA
297	GUT_GENOME144544_00297	NA	tRNA-Ser(tga)
298	GUT_GENOME144544_00298	hyaA	Hydrogenase-1 small chain
299	GUT_GENOME144544_00299	hyaB	Hydrogenase-1 large chain
300	GUT_GENOME144544_00300	hyaC	putative Ni/Fe-hydrogenase 1 B-type cytochrome subunit
301	GUT_GENOME144544_00301	hyaD	Hydrogenase 1 maturation protease
302	GUT_GENOME144544_00302	hyaE	Hydrogenase-1 operon protein HyaE
303	GUT_GENOME144544_00303	NA	hypothetical protein
304	GUT_GENOME144544_00304	appC	Cytochrome bd-II ubiquinol oxidase subunit 1
305	GUT_GENOME144544_00305	appB	Cytochrome bd-II ubiquinol oxidase subunit 2
306	GUT_GENOME144544_00306	appA	Periplasmic AppA protein
307	GUT_GENOME144544_00307	cspG_1	Cold shock-like protein CspG
308	GUT_GENOME144544_00308	gnsA_1	Protein GnsA
309	GUT_GENOME144544_00309	yccM	Putative electron transport protein YccM
310	GUT_GENOME144544_00310	torS	Sensor protein TorS
311	GUT_GENOME144544_00311	torT	Periplasmic protein TorT
312	GUT_GENOME144544_00312	torR	TorCAD operon transcriptional regulatory protein TorR
313	GUT_GENOME144544_00313	torC	Cytochrome c-type protein TorC
314	GUT_GENOME144544_00314	torA	Trimethylamine-N-oxide reductase 1
315	GUT_GENOME144544_00315	torD	Chaperone protein TorD
316	GUT_GENOME144544_00316	cbpM	Chaperone modulatory protein CbpM
317	GUT_GENOME144544_00317	cbpA	Curved DNA-binding protein
318	GUT_GENOME144544_00318	NA	hypothetical protein
319	GUT_GENOME144544_00319	agp	Glucose-1-phosphatase
320	GUT_GENOME144544_00320	yccJ	putative protein YccJ
321	GUT_GENOME144544_00321	NA	NAD(P)H dehydrogenase (quinone)
322	GUT_GENOME144544_00322	NA	hypothetical protein
323	GUT_GENOME144544_00323	rutG	Putative pyrimidine permease RutG
324	GUT_GENOME144544_00324	rutF	FMN reductase (NADH) RutF
325	GUT_GENOME144544_00325	rutE	putative malonic semialdehyde reductase RutE
326	GUT_GENOME144544_00326	rutD	Putative aminoacrylate hydrolase RutD
327	GUT_GENOME144544_00327	rutC_1	Putative aminoacrylate peracid reductase RutC
328	GUT_GENOME144544_00328	rutB_1	Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
329	GUT_GENOME144544_00329	rutA	Pyrimidine monooxygenase RutA
330	GUT_GENOME144544_00330	rutR	HTH-type transcriptional regulator RutR
331	GUT_GENOME144544_00331	putA	Bifunctional protein PutA
332	GUT_GENOME144544_00332	NA	hypothetical protein
333	GUT_GENOME144544_00333	putP	Sodium/proline symporter
334	GUT_GENOME144544_00334	efeU	Ferrous iron permease EfeU
335	GUT_GENOME144544_00335	efeO	Iron uptake system component EfeO
336	GUT_GENOME144544_00336	efeB	Deferrochelatase/peroxidase EfeB
337	GUT_GENOME144544_00337	NA	hypothetical protein
338	GUT_GENOME144544_00338	NA	hypothetical protein
339	GUT_GENOME144544_00339	phoH	Protein PhoH
340	GUT_GENOME144544_00340	NA	hypothetical protein
341	GUT_GENOME144544_00341	NA	tRNA-Ser(gga)
342	GUT_GENOME144544_00342	ghrA	Glyoxylate/hydroxypyruvate reductase A
343	GUT_GENOME144544_00343	ycdX	putative phosphatase YcdX
344	GUT_GENOME144544_00344	ycdY	Chaperone protein YcdY
345	GUT_GENOME144544_00345	ycdZ	Inner membrane protein YcdZ
346	GUT_GENOME144544_00346	csgG	Curli production assembly/transport component CsgG
347	GUT_GENOME144544_00347	csgF	Curli production assembly/transport component CsgF
348	GUT_GENOME144544_00348	csgE	Curli production assembly/transport component CsgE
349	GUT_GENOME144544_00349	csgD	CsgBAC operon transcriptional regulatory protein
350	GUT_GENOME144544_00350	csgB	Minor curlin subunit
351	GUT_GENOME144544_00351	csgA	Major curlin subunit
352	GUT_GENOME144544_00352	csgC	Curli assembly protein CsgC
353	GUT_GENOME144544_00353	ymdA	putative protein YmdA
354	GUT_GENOME144544_00354	ymdB	O-acetyl-ADP-ribose deacetylase
355	GUT_GENOME144544_00355	clsC	Cardiolipin synthase C
356	GUT_GENOME144544_00356	mdoC	Glucans biosynthesis protein C
357	GUT_GENOME144544_00357	mdoG	Glucans biosynthesis protein G
358	GUT_GENOME144544_00358	mdoH	Glucans biosynthesis glucosyltransferase H
359	GUT_GENOME144544_00359	NA	hypothetical protein
360	GUT_GENOME144544_00360	NA	hypothetical protein
361	GUT_GENOME144544_00361	mdtG_1	Multidrug resistance protein MdtG
362	GUT_GENOME144544_00362	lpxL	Lipid A biosynthesis lauroyltransferase
363	GUT_GENOME144544_00363	NA	hypothetical protein
364	GUT_GENOME144544_00364	yceI	Protein YceI
365	GUT_GENOME144544_00365	yceJ	Cytochrome b561 
366	GUT_GENOME144544_00366	yceO	putative protein YceO
367	GUT_GENOME144544_00367	solA	N-methyl-L-tryptophan oxidase
368	GUT_GENOME144544_00368	bssS	Biofilm regulator BssS
369	GUT_GENOME144544_00369	dinI	DNA damage-inducible protein I
370	GUT_GENOME144544_00370	pyrC	Dihydroorotase
371	GUT_GENOME144544_00371	yceB	putative lipoprotein YceB
372	GUT_GENOME144544_00372	grxB	Glutaredoxin 2
373	GUT_GENOME144544_00373	mdtH	Multidrug resistance protein MdtH
374	GUT_GENOME144544_00374	ydaF	Putative ribosomal N-acetyltransferase YdaF
375	GUT_GENOME144544_00375	NA	hypothetical protein
376	GUT_GENOME144544_00376	yceM	Putative oxidoreductase YceM
377	GUT_GENOME144544_00377	murJ	Lipid II flippase MurJ
378	GUT_GENOME144544_00378	flgN	Flagella synthesis protein FlgN
379	GUT_GENOME144544_00379	flgM	Negative regulator of flagellin synthesis
380	GUT_GENOME144544_00380	flgA	Flagella basal body P-ring formation protein FlgA
381	GUT_GENOME144544_00381	flgB_1	Flagellar basal body rod protein FlgB
382	GUT_GENOME144544_00382	flgC_1	Flagellar basal-body rod protein FlgC
383	GUT_GENOME144544_00383	flgD	Basal-body rod modification protein FlgD
384	GUT_GENOME144544_00384	flgE_1	Flagellar hook protein FlgE
385	GUT_GENOME144544_00385	flgF_1	Flagellar basal-body rod protein FlgF
386	GUT_GENOME144544_00386	flgG_1	Flagellar basal-body rod protein FlgG
387	GUT_GENOME144544_00387	flgH_1	Flagellar L-ring protein
388	GUT_GENOME144544_00388	flgI_1	Flagellar P-ring protein
389	GUT_GENOME144544_00389	flgJ	Peptidoglycan hydrolase FlgJ
390	GUT_GENOME144544_00390	flgK	Flagellar hook-associated protein 1
391	GUT_GENOME144544_00391	flgL_1	Flagellar hook-associated protein 3
392	GUT_GENOME144544_00392	NA	hypothetical protein
393	GUT_GENOME144544_00393	NA	hypothetical protein
394	GUT_GENOME144544_00394	rne	Ribonuclease E
395	GUT_GENOME144544_00395	rluC	Ribosomal large subunit pseudouridine synthase C
396	GUT_GENOME144544_00396	yceF	Maf-like protein YceF
397	GUT_GENOME144544_00397	yceD	Large ribosomal RNA subunit accumulation protein YceD
398	GUT_GENOME144544_00398	rpmF	50S ribosomal protein L32
399	GUT_GENOME144544_00399	plsX	Phosphate acyltransferase
400	GUT_GENOME144544_00400	fabH	3-oxoacyl-[acyl-carrier-protein] synthase 3
401	GUT_GENOME144544_00401	fabD	Malonyl CoA-acyl carrier protein transacylase
402	GUT_GENOME144544_00402	fabG_1	3-oxoacyl-[acyl-carrier-protein] reductase FabG
403	GUT_GENOME144544_00403	acpP_1	Acyl carrier protein
404	GUT_GENOME144544_00404	fabF	3-oxoacyl-[acyl-carrier-protein] synthase 2
405	GUT_GENOME144544_00405	pabC	Aminodeoxychorismate lyase
