	SF2	SF3	SF12	SF14	SF17	SF20	SF21	SF24	SF25	SF26
1748302_Protein_InaA	0	0	0	0	0	0	0	0	0.24137931	0.090909091
1748305_Protein_InaA	0	0	0	0	0	0	0	0	0.259259259	0.076923077
1748620_Glycerophosphodiester_phosphodiesterase%2C_periplasmic	0.08125	0.0703125	1	1	0.130434783	1	1	1	0.311953353	0.4375
1748773_Protein_InaA	0.104477612	0.091324201	0	0	0.055555556	0	0	0	0	0
1748872_Glycerophosphodiester_phosphodiesterase%2C_periplasmic	0	0.007692308	0	0	0	0	0	0	0.006134969	0
1748980_Protein_InaA	0.212121212	0.148148148	0	0	0	0	0	0	0	0
1748992_Protein_InaA	0.208955224	0.158878505	0	0	0	0	0	0	0	0
1749034_Protein_InaA	0.131868132	0.126506024	0	0	0.454545455	0	0	0	0	0
1749369_Glycerophosphodiester_phosphodiesterase%2C_periplasmic	0	0.011627907	0.005747126	0	0.5	0	0.029411765	0	0.005376344	0
1834076_Dihydrofolate_synthase/folylpolyglutamate_synthase	0.076	0.07967033	0	0	0.210526316	0	0	0	0.015418502	0
1834097_Dihydrofolate_synthase/folylpolyglutamate_synthase	0.068376068	0.07977208	0	0	0.161290323	0	0	0	0.015521064	0
1834214_Dihydrofolate_synthase/folylpolyglutamate_synthase	0.448979592	0.483443709	0	0	0.3	0.006410256	0	0	0	0
1834217_Erythronate-4-phosphate_dehydrogenase	0	0	0	0	0.166666667	0.044164038	0.053333333	0	0	0
1834292_Dihydrofolate_synthase/folylpolyglutamate_synthase	0.065656566	0.051194539	0	0	0.272727273	0	0	0	0	0
1834295_Erythronate-4-phosphate_dehydrogenase	0.080645161	0.046099291	0	0	0.277777778	0.003154574	0	0	0	0
1834358_Dihydrofolate_synthase/folylpolyglutamate_synthase	1	1	1	1	1	1	1	1	0	0
1834448_Dihydrofolate_synthase/folylpolyglutamate_synthase	0	0	0	0	0.153846154	0.025735294	0.069444444	0	0	0
1834454_Dihydrofolate_synthase/folylpolyglutamate_synthase	0	0	0	0	0.2	0.027874564	0.068493151	0	0.267108168	0.454545455
1834475_Erythronate-4-phosphate_dehydrogenase	0.078817734	0.05	0	0	0.346153846	1	1	1	0	0
1834550_Dihydrofolate_synthase/folylpolyglutamate_synthase	0.068181818	0.0625	0	0	0.434782609	0.003636364	0	0	0	0
1834556_Dihydrofolate_synthase/folylpolyglutamate_synthase	0.068322981	0.061135371	0	0	0.4	0	0	0	0	0
1834589_Dihydrofolate_synthase/folylpolyglutamate_synthase	0.074626866	0.054151625	0	0	0	0.003333333	0	0	0	0
1834637_Erythronate-4-phosphate_dehydrogenase	0	0	0	0	0.368421053	0	0	0	0	0
1834685_Erythronate-4-phosphate_dehydrogenase	0.459893048	0.49137931	0.000606796	1	0.176470588	1	1	0	0.013404826	1
1834941_Dihydrofolate_synthase/folylpolyglutamate_synthase	0	0	0.437262357	0	0	0.411764706	0.214285714	0	0.369565217	0
1834942_Erythronate-4-phosphate_dehydrogenase	0	0	0.233333333	0	0	0.290322581	0	0	0.321428571	0
1834944_Erythronate-4-phosphate_dehydrogenase	0	0	0.064102564	0	0	0.086956522	0	0	0.119047619	0
1834953_Dihydrofolate_synthase/folylpolyglutamate_synthase	0	0	0.403846154	0	0	0.285714286	0.363636364	0	0.421052632	0
1834957_Dihydrofolate_synthase/folylpolyglutamate_synthase	0	0	0.43	0	0	0.3	0.363636364	0	0.421052632	0
1834958_Dihydrofolate_synthase/folylpolyglutamate_synthase	0	0	0.455445545	0	0	0.315789474	0	0	0.421052632	0
1934658_Aminopeptidase_YpdE	0.475247525	0.470588235	0	0	0.47826087	0	0	0	0	0
1934733_Aminopeptidase_YpdE	0.052132701	0.041666667	0	0	0.208333333	0	0	0	0	0
1934734_Putative_ion-transport_protein_YfeO	0.0591133	0.045614035	0.000511771	0	0.217391304	0	0	0	0	0
1934794_Aminopeptidase_YpdE	0.033018868	0.067137809	0	0	0	0	0	0	0	0
1934833_Aminopeptidase_YpdE	0.030456853	0.075085324	0	0	0.3125	0	0	0	0	0
1934944_Aminopeptidase_YpdE	0.401515152	0.468468468	0.000662691	0	0	0	0	0	0.019157088	0.016393443
1934956_Aminopeptidase_YpdE	0	0	0.000693481	0	0	0.004504505	0	0	0	0
1935037_Aminopeptidase_YpdE	0	0	0	0	0	0.005154639	0.054054054	0	0	0
1935109_Aminopeptidase_YpdE	0	0	0	0	0.166666667	0	0	0	0	0
1935281_Aminopeptidase_YpdE	0	0	0.001041124	0.016666667	0	0.010723861	0	0	0.003236246	0.014925373
1935976_Aminopeptidase_YpdF	0.03626943	0.043189369	0	0	0.352941176	1	1	1	0	0
1936207_Aminopeptidase_YpdF	0	0	0	0	0	0	0	0	0	0
1936238_Aminopeptidase_YpdF	0.0625	0.051020408	0	0	0	0.059405941	0	0	0	0
1936239_Aminopeptidase_YpdF	0.127659574	0.225352113	0	0	0	0.236842105	0.333333333	0	0	0
2142804_HTH-type_transcriptional_activator_CmpR	0.076923077	0	0	0	0	0.146341463	0	0	0	0
2142890_Anti-sigma-E_factor_RseA	0.068965517	1	1	1	0	1	0	0	1	1
2142902_Anti-sigma-E_factor_RseA	0	0	0.051673945	0	0	0.017241379	0	0	0.049180328	0.034482759
2142904_Anti-sigma-E_factor_RseA	0	0	0.053284672	1	0	0.036363636	0	0	0.049586777	0.035714286
2142910_ECF_RNA_polymerase_sigma-E_factor	0	0	0.03869969	1	0	0.037037037	0	0	0.043243243	0.022988506
2142911_ECF_RNA_polymerase_sigma-E_factor	0.074074074	0	0.030048917	0	0	0	0	0	0.0325	0.022222222
2142914_ECF_RNA_polymerase_sigma-E_factor	0	0	0.000765111	0	0	0	0	0	0	0
2142925_ECF_RNA_polymerase_sigma-E_factor	0	0	0	0	0	0	0	0	0	0
2143208_HTH-type_transcriptional_activator_CmpR	0.0625	0.098522167	1	1	0.230769231	1	1	1	1	1
2143226_ECF_RNA_polymerase_sigma-E_factor	0.068965517	0.09223301	0	0	0.153846154	0	0	0	0	0
2143271_ECF_RNA_polymerase_sigma-E_factor	0.068965517	0.09375	0	0	0.214285714	0	0	0	0	0
2143358_ECF_RNA_polymerase_sigma-E_factor	0.044776119	0.059649123	0	0	0.315789474	0	0	0	0	0
2143394_ECF_RNA_polymerase_sigma-E_factor	0.056410256	0.040590406	0	0	0.2	0	0	0	0	0
2143456_HTH-type_transcriptional_activator_CmpR	0.06557377	0.059574468	0	0	0.321428571	0	0	0	0.020408163	0
2143514_HTH-type_transcriptional_activator_CmpR	0	0	0	0	0.09375	0	0	0	0	0
2143565_tRNA1(Val)_(adenine(37)-N6)-methyltransferase	0	0.057553957	0	0	0.259259259	0	0	0	0.020044543	0.038461538
2237031_S-ribosylhomocysteine_lyase	0	0	0	0.111111111	0	0	0	0	0.006666667	0
2237475_S-ribosylhomocysteine_lyase	0.037037037	0.041916168	0	0	0.363636364	0	0	0	0	0
2237503_S-ribosylhomocysteine_lyase	0.052631579	0.054054054	0	0	0.272727273	0	0	0.037037037	0	0
2303274_Hydrogenase_3_maturation_protease	0.064257028	0.051980198	0	0	0.235294118	0	0	0	0	0
2303934_NAD(P)H-quinone_oxidoreductase_subunit_2%2C_chloroplastic	0.448559671	0.455128205	0.000491642	1	0.352941176	0	0	0	0.020833333	0.030927835
2304144_NAD(P)H-quinone_oxidoreductase_subunit_2%2C_chloroplastic	0.444852941	0.486215539	0	0	0	0.034552846	0.02	0	0	0
2304162_NAD(P)H-quinone_oxidoreductase_subunit_2%2C_chloroplastic	0.5	0.479905437	0	0	0	0.032549729	0.017857143	0	0	0
2304369_Formate_hydrogenlyase_subunit_7	0.077490775	0.046838407	0	0	0.484848485	1	1	1	0	0
2304393_NAD(P)H-quinone_oxidoreductase_subunit_2%2C_chloroplastic	0.083665339	0	0	0	0.37037037	0	0	0	0.020866774	0.021582734
2304528_Formate_hydrogenlyase_subunit_7	0.445783133	0.461538462	0	0	0.066666667	0	0	1	0	0
2304537_Formate_hydrogenlyase_subunit_7	0.007968127	0	0	0	0	0	0	0	0	0
2304642_Formate_hydrogenlyase_subunit_7	0.088353414	0.079411765	0	0	0.1	0	0	0	0	0
2394460_Lactaldehyde_reductase	1	1	0	0	0.052631579	1	1	1	0	0
2394543_Lactaldehyde_reductase	0.056179775	0.051094891	0	0	0.3125	0	0	0	0	0
2394591_Lactaldehyde_reductase	0.442528736	0.467857143	0	0	0.333333333	0	0	0	0	0
2394615_Lactaldehyde_reductase	0	0	0	0	0	0	0	0	0.008196721	0
2394651_Lactaldehyde_reductase	0	0	0	0	0.0625	0	0	0	0	0
2394787_Lactaldehyde_reductase	0.085714286	0.063492063	0	0.1875	0	0	0	0	0	0
2502849_Molybdenum_cofactor_cytidylyltransferase	0	0	0	0	0.178571429	0.057636888	0.066666667	0	0	0
2525546_Lysine--tRNA_ligase	0.121212121	0.105691057	0.105392157	0	0	0.136094675	0	0.1	0.123376623	0.151515152
2525819_Lysine--tRNA_ligase	0.078787879	0.051724138	0	0	0	0.034920635	0.014705882	0	0	0
2525946_Thiol:disulfide_interchange_protein_DsbC	0	0	0	0.016129032	0	0	0	0	0.00210084	0
2662416_Lactate_utilization_protein_A	0.384030418	0.43977591	0	0	0.24	1	1	1	0	0
2662722_Lactate_utilization_protein_A	0.055084746	0.043352601	0	0	0	0	0	0	0.247404844	0.373239437
2662728_Lactate_utilization_protein_A	0.043859649	0.043604651	0	0	0	0	0	0	0.241681261	0.340740741
2662746_Lactate_utilization_protein_A	0	0	0.000739098	1	0.076923077	0	0	0	0.266323024	0.388059701
2662752_Lactate_utilization_protein_A	0	0	0.000378215	0	0	0	0	0	0.216757741	0.297520661
2690735_Hydrogenase-2_small_chain	0.4	0.409638554	0	0	0	0.397849462	0.444444444	0.5	0	0
2690755_Hydrogenase-2_small_chain	0	0	0.000399202	0	0	0.035087719	0.05	0	0	0
2690767_Hydrogenase-2_small_chain	0	0	0	0	0	0	0	0	0.00330033	0
2786186_Ribosomal_RNA_large_subunit_methyltransferase_G	0	0	0	0	0	0	0	0	0	0
2786191_Ribosomal_RNA_large_subunit_methyltransferase_G	0.19047619	0.133333333	0	0	0	0.214285714	0.333333333	0	0	0
2786268_Ribosomal_RNA_large_subunit_methyltransferase_G	0	0	0	0	0.157894737	0	0	0	0.001449275	1
2786411_Ribosomal_RNA_large_subunit_methyltransferase_G	0	0	0	0	0	0	0	0	0	0
2786469_Ribosomal_RNA_large_subunit_methyltransferase_G	0	0	0	0	0	0	0	0	0.150980392	0.425925926
2786499_Ribosomal_RNA_large_subunit_methyltransferase_G	0	0	0	0	0	0.003891051	0	0	0	0
2786506_Ribosomal_RNA_large_subunit_methyltransferase_G	0.414141414	0.426829268	0	0	0	0	0	1	0	0
2786535_Ribosomal_RNA_large_subunit_methyltransferase_G	0	0	0	0	0	0.003759398	0	0	0	0
2786540_Ribosomal_RNA_large_subunit_methyltransferase_G	0	0	0	0.015625	0	0	0	0	0.209705373	0.36036036
2786595_Ribosomal_RNA_large_subunit_methyltransferase_G	1	1	0	0	0	0.003690037	1	1	0.233908948	0.300813008
2786730_Ribosomal_RNA_large_subunit_methyltransferase_G	0	0	0	0	0.166666667	0.010204082	0	0	0.228956229	0.37037037
2885742_GTPase_ObgE/CgtA	0.051401869	0.036585366	0	0	0.3125	0	0	0	0	0
2989829_Alternative_ribosome-rescue_factor_A	0.168831169	0.075630252	0	0	1	1	1	1	0	0
2989844_Alternative_ribosome-rescue_factor_A	0.205882353	0.086956522	1	1	0	0	0	0	0.011152416	1
2989919_Alternative_ribosome-rescue_factor_A	0.264150943	0.172413793	1	1	0	1	1	0	1	1
2989958_Alternative_ribosome-rescue_factor_A	0.347826087	0.365853659	0.005649718	0	0	0	0	0	0	0
2989994_Alternative_ribosome-rescue_factor_A	0.333333333	0.3	0	0	0	0	0	0	0	0
3201623_Protein_SapB	0	0	0	0	0	0	0	0	0	0
3201838_Protein_SapB	0.434210526	0.429553265	0	0	0.227272727	0	0	0	0	0
3239406_Cyclic_di-GMP-binding_protein	1	1	0	0	0.133333333	0	0	1	1	1
3239795_Cyclic_di-GMP-binding_protein	0	0	0	0	0	0	0	0	0	0
3239799_Cyclic_di-GMP-binding_protein	1	1	1	1	0	1	1	1	0	0
3239851_Cyclic_di-GMP_binding_protein_BcsE	0.004166667	0	0.001980198	0	0	0	0	0	0	0
3240009_Cyclic_di-GMP-binding_protein	0.006557377	0	0	0	0.428571429	0.003215434	0	0	0	0
3240120_Cyclic_di-GMP-binding_protein	0.058608059	0.032786885	0	0	0.4375	0.001811594	0	0	0	0
3240369_Cellulose_synthase_catalytic_subunit_[UDP-forming]	1	1	0	0	0.25	0.002173913	1	1	0	0
3240396_Cellulose_synthase_catalytic_subunit_[UDP-forming]	0.003521127	0	0	0	0	0.001964637	0	0	0	0
3240399_Cellulose_synthase_catalytic_subunit_[UDP-forming]	0.059055118	0.052307692	0	0	0.333333333	0	0	0	0	0
3240417_Cellulose_synthase_catalytic_subunit_[UDP-forming]	0.055147059	0.041297935	0	0	0.428571429	0	0	0	0	0
3286531_Hydrogenase-4_component_A	0	0	0	0	0	0	0	0	0.223274696	0.465517241
3286616_putative_protein	0	0	0	0	0.133333333	0	0	0	0.016176471	0.009433962
3286715_Hydrogenase-4_component_A	0	0	0	0	0	0	0	0	0.256880734	0.469879518
3286805_Hydrogenase-4_component_A	0	0	0	0	0	0	0	0	0.312883436	0.351351351
3286838_Hydrogenase-4_component_A	0.01025641	0	0	0	0.222222222	0	0	0	0.192771084	0
3289903_DNA-binding_transcriptional_repressor_YiaJ	0	0	0	0	0	0	0	0	0.059190031	0.028169014
3289915_DNA-binding_transcriptional_repressor_YiaJ	0.005714286	0.004255319	0	0	0.351351351	0	0	0	0	0
3289981_L-xylulose/3-keto-L-gulonate_kinase	0.084415584	0.07960199	0	0	0.297297297	0	0	0	0	0
3290044_DNA-binding_transcriptional_repressor_YiaJ	0	0	1	0	0	0	0	0	0.105263158	0.037037037
3290098_DNA-binding_transcriptional_repressor_YiaJ	0.016949153	0	0	0	0.19047619	0	0	0	0.136363636	0
3290158_DNA-binding_transcriptional_repressor_YiaJ	0	0	0	0	0	0	0	0	0.077777778	0
3290162_DNA-binding_transcriptional_repressor_YiaJ	0.344827586	0.391566265	0	0	0.333333333	0	0	0	0	0
3290308_3-keto-L-gulonate-6-phosphate_decarboxylase_SgbH	0	0	0	0	0.333333333	0	0	0	0.318568995	0.367346939
3290374_3-keto-L-gulonate-6-phosphate_decarboxylase_SgbH	0	0	1	1	0.086956522	0	0	0	0.028119508	0.02
3290546_3-keto-L-gulonate-6-phosphate_decarboxylase_SgbH	0	0	0	0	0	0	0	0	0.015189873	0
3290610_3-keto-L-gulonate-6-phosphate_decarboxylase_SgbH	0	0	1	1	0	0	0	0	0.023952096	0.016129032
3290611_3-keto-L-gulonate-6-phosphate_decarboxylase_SgbH	0.040540541	0.03875969	0.000497512	0	0.275862069	0	0	0	0	0.008196721
3290710_3-keto-L-gulonate-6-phosphate_decarboxylase_SgbH	0	0	0	0	0	0	0	0	0.040816327	0
3290842_3-keto-L-gulonate-6-phosphate_decarboxylase_SgbH	0	0	1	1	0	0	0	0	0.035353535	0.016393443
3290851_3-keto-L-gulonate-6-phosphate_decarboxylase_SgbH	0	0	0	0	0.096774194	0	0	0	0	0
3290971_3-keto-L-gulonate-6-phosphate_decarboxylase_SgbH	0	0	0	0	0.096774194	0	0	0	0	0
3290980_3-keto-L-gulonate-6-phosphate_decarboxylase_SgbH	0	0	0	0	0.121212121	1	1	1	0	0
3291094_3-keto-L-gulonate-6-phosphate_decarboxylase_SgbH	0	0	0	0	0.111111111	0	0	0	0	0
3291116_3-keto-L-gulonate-6-phosphate_decarboxylase_SgbH	0	0	1	1	0.142857143	0	0	0	0	0
3291118_3-keto-L-gulonate-6-phosphate_decarboxylase_SgbH	0.051724138	0	0	0	0	0	0	0	0.005813953	0
3291154_3-keto-L-gulonate-6-phosphate_decarboxylase_SgbH	0	0	0	0	0.363636364	0.003952569	0	0	0	0
3291188_3-keto-L-gulonate-6-phosphate_decarboxylase_SgbH	0	0	0	0	0.117647059	0	0	0	0.01622248	0.005747126
3317365_Inner_membrane_protein_YibH	0.076923077	0.052083333	0	0	0.28	1	1	0	0	0
3317374_Inner_membrane_protein_YibH	0.084848485	0.056537102	0	0	0.238095238	1	1	0	0	0
3443629_HTH-type_transcriptional_activator_RhaR	0	0	1	1	0	0	0	0	0.013722127	0.022727273
3443666_HTH-type_transcriptional_activator_RhaR	0.064102564	0.035587189	0	0	0.352941176	0	0	0	0	0
3443813_Inner_membrane_protein_YidG	0	0	0	0	0	0.016759777	0.009345794	0	0	0
3443816_HTH-type_transcriptional_activator_RhaR	0	0	0	0	0	0.015065913	0.009259259	0	0	0
3443834_Inner_membrane_protein_YidG	0.070754717	0	0	0	0.243243243	0	0	0	0.011644833	0.015503876
3443913_Inner_membrane_protein_YidG	0	0	0	0	0.03125	0	0	0	0	0
3443916_Inner_membrane_protein_YidG	0.059701493	0	0	0	0	0	0	0	0.24695122	0.368421053
3444242_Inner_membrane_protein_YidH	0.07804878	0.104316547	0	0	0.034482759	0.002227171	1	1	0	0
3444255_HTH-type_transcriptional_activator_RhaR	0	0	0.082733813	0	0	0	0	0	0.18627451	0.117647059
3444257_Inner_membrane_protein_YidH	0	0	0.395759717	0	0	0	0	0	0.475247525	0.470588235
3444261_HTH-type_transcriptional_activator_RhaR	0	0	0.266666667	0	0	0	0	0	0.265060241	0.266666667
3444263_HTH-type_transcriptional_activator_RhaR	1	1	0	0	1	1	1	1	0.378378378	0
3447676_Mannosyl-D-glycerate_transport/metabolism_system_repressor_MngR	0.463709677	0.449152542	0	0	0.486486486	0	0	1	0	0
3447677_putative_symporter_YidK	0.448275862	0.460869565	0	0	0.487179487	0.136904762	0.225	0	0	0
3447703_putative_symporter_YidK	0.083003953	0.056980057	0	0	0	0	0	0	0	0
3447961_Mannosyl-D-glycerate_transport/metabolism_system_repressor_MngR	0.073529412	0.060126582	0	0	0.416666667	0	0	0	0	0
3448051_putative_symporter_YidK	0.041666667	0.053511706	0	0	0.433333333	0.059734513	0.066666667	1	0	0
3579052_Protein_HemX	0.155080214	0.211538462	0	0	0	0	0	0.068965517	0	0
3579095_Protein_HemX	0.26875	0.274131274	0	0	0	0.081597222	0	0.257142857	0	0.054794521
3579110_Protein_HemX	0.125	0.123636364	0	0	0	0	0	0.088235294	0	0
3579192_Protein_HemX	0.088541667	0.068627451	1	1	0.133333333	1	1	1	1	1
3579762_Protein_HemX	0.096446701	0.061583578	0	0	0.2	0	0	0	0	0
3988449_Biodegradative_arginine_decarboxylase	0.12	0.025641026	0	0	0.181818182	0.272727273	0	0	0	0
3988597_Inner_membrane_protein_YjdF	0.431818182	0.41025641	0	0	0.117647059	0.004065041	1	1	0	0
3988612_Biodegradative_arginine_decarboxylase	0.453900709	0.411214953	0	0	0.0625	0	0	0	0	0
3988684_Biodegradative_arginine_decarboxylase	0.023529412	0.033613445	0	0	0.052631579	0.003278689	0	0	0	0
3988768_Biodegradative_arginine_decarboxylase	0	0	0.000461255	0	0	0	0	0	0.022	0
3988846_Biodegradative_arginine_decarboxylase	0	0	0	0	0.304347826	0	0	0	0	0
3988918_Biodegradative_arginine_decarboxylase	0.497461929	0.462006079	0	0	0.24137931	0	0	0	0	0
4027099_Inner_membrane_transporter_YjeM	0	0	0.000423729	0	0	0	0	0	0.020168067	0.007936508
4027410_Fumarate_reductase_subunit_D	0	0	1	1	0	0	0	0	0.011182109	1
4027909_Fumarate_reductase_subunit_C	0.483695652	0.491694352	0	0	0.111111111	0	0	0	0	0
4027913_Inner_membrane_transporter_YjeM	0.456852792	0.49244713	0	0	0.103448276	1	1	1	0	0
4027927_Fumarate_reductase_subunit_C	0.486910995	0.491176471	0	0	0.172413793	0	0	0	0	0
4028167_Inner_membrane_transporter_YjeM	0.471428571	0.452442159	0.000452284	0	0.291666667	0	0	0	0.257716049	0.496503497
4028311_Fumarate_reductase_iron-sulfur_subunit	0.040268456	0.035019455	0	0	0.04	1	1	1	0	0
4028331_Fumarate_reductase_iron-sulfur_subunit	0.362068966	0.417808219	0	0	0.034482759	0	0	0	0	0
4598274_Flagellar_M-ring_protein	0.112	0.076086957	0	0	0	0	0	1	0	0
4598377_Flagellar_M-ring_protein	0.097345133	0.066666667	1	0	0	0	0	1	0	0
4598404_Flagellar_M-ring_protein	0.057692308	0	0.001788909	0	0	0	0	0	0	0
4598446_Flagellar_M-ring_protein	0	0	0	0	0	0	0	0	0	0
4598467_Flagellar_basal_body_rod_protein_FlgB	0.04494382	0.033962264	0	0	0	0	0	0	0	0
4598551_Flagellar_basal_body_rod_protein_FlgB	0.00591716	0	0	0	0	0	0	0	0	0
4598577_Flagellar_basal_body_rod_protein_FlgB	0	0	0	0	0	0	0	0	0	0
4598656_Flagellar_basal_body_rod_protein_FlgB	0.094339623	0.080246914	0	0	0.166666667	0	0	1	0	0
4598798_Flagellar_basal_body_rod_protein_FlgB	0.307692308	0.333333333	1	1	0	0	0	1	0	0
4598995_Flagellar_basal_body_rod_protein_FlgB	0.272727273	0.222222222	0	0	0	0	0	1	0	0
4599136_Flagellar_basal_body_rod_protein_FlgB	0.084745763	0	0	0	0	0	0	0	0	0
4599154_Flagellar_basal_body_rod_protein_FlgB	0	0	0	0	0	0	0	0	0	0
4599216_Flagellar_basal_body_rod_protein_FlgB	0.048780488	0.06	0	0	0	0	0	0	0	0
4599312_Flagellar_basal_body_rod_protein_FlgB	0.133333333	0.103448276	1	1	0	0	0	0	0	0
4599345_Flagellar_basal_body_rod_protein_FlgB	0.078651685	0.09375	0	0	0	0	0	0	0	0
4599386_Flagellar_basal_body_rod_protein_FlgB	0	0	0	0	0	0	0	0	0	0
4599403_Flagellar_basal_body_rod_protein_FlgB	0	0	0	0	0	0	0	0	0	0
4599924_Flagellar_basal_body_rod_protein_FlgB	0.059633028	0.031609195	0	0	0	0	0	0	0	0
