	SF2	SF3	SF9	SF10	SF20	SF21	SF23	SF25	SF26	SF2subset	SF3subset	SF9subset	SF10subset	SF20subset	SF21subset	SF23subset	SF25subset	SF26subset
691134_Mycothiol_acetyltransferase	0	0	0	0	0.106918239	0.096385542	0	0	0	0	0	0	0	0.358024691	0.393442623	0	0	0
691339_Mycothiol_acetyltransferase	0	0	0	0	0	0	1	0.06097561	0	0	0	0	0	0	0	1	0.06097561	0
691453_Mycothiol_acetyltransferase	0	0	0	0	0.4	0.222222222	0	0	0	0	0	0	0	0.130434783	0.255319149	0	0	0
691542_Mycothiol_acetyltransferase	0	0	0	0	0	0	0.282608696	0.257142857	0	0	0	0	0	0	0	0.282608696	0.257142857	0
764418_hypothetical_protein	0.096658711	0.104	0	0	0	0	0	0	0	0.133333333	0.1	0	0	0	0	0	0	0
764425_hypothetical_protein	0.088507266	0.088631985	0	0	0	0	0	0	0	0.08	0.09375	0	0	0	0	0	0	0
764429_hypothetical_protein	0.10738255	0.115611814	0.227783453	0.255767302	0.317073171	0.146341463	0.3	0	0	0.125	0.137931034	0.162162162	0.222222222	0.333333333	0.15	0.3	0	0
764430_hypothetical_protein	0	0	1	1	0	0	0	0	0	0	0	0.153846154	0.2	0.333333333	0.166666667	0	0	0
764439_hypothetical_protein	0.45991984	0.457794677	0.437115215	0.43489814	0.423913043	0.236842105	0.459459459	0.48	0	0.379310345	0.5	0.43902439	0.454545455	0.377777778	0.25	0.459459459	0.48	0
764444_hypothetical_protein	0.435514019	0.444921316	0.450282943	0.465787304	0.354166667	0.365853659	0.358974359	0.384615385	0	0.419354839	0.404761905	0.4	0.447368421	0.354166667	0.384615385	0.358974359	0.384615385	0
764461_hypothetical_protein	0.086592179	0.058139535	0.089820359	0.09122807	0	0.111111111	0	0.088235294	0	0.111111111	0	0	0	0.063829787	0.111111111	0	0.088235294	0
876641_Dephospho-CoA_kinase	0	0	0	0	0.473684211	0.292682927	0	0	0	0	0	0	0	0.153846154	0.076923077	0	0	0
991414_tRNA(Ile)-lysidine_synthase	0	0	0	0	0.317073171	0.45	0	0	0	0	0	0	0	0.47826087	0.263157895	0	0	0
991525_tRNA(Ile)-lysidine_synthase	0	0	0	0	0.295857988	0.457627119	0	0	0	0	0	0	0	0.343283582	0.474576271	0	0	0
991580_tRNA(Ile)-lysidine_synthase	0	0	0	0	0.174193548	0.263157895	0	0	0	0	0	0	0	0.308823529	0.419354839	0	0	0
1008416_2%2C5-diketo-D-gluconic_acid_reductase_B	0	0	0.2890625	0.459459459	0	0	0	0	0	0	0	0	0	0.260273973	0.23880597	0	0	0
1008896_2%2C5-diketo-D-gluconic_acid_reductase_B	0	0	0	0	0.153846154	0.275	0	0	0	0	0	0	0	0.097222222	0	0	0	0
1031856_putative_protein	0	0	0	0	0.489361702	0	0.380952381	0	0	0	0	0	0	0.222222222	0.064935065	0.380952381	0	0
1061510_hypothetical_protein	0	0	0	0.081300813	0.318181818	0.244444444	0	0.175	0	0	0	0	0	0	0	0	0.175	0
1061646_hypothetical_protein	0	0	0	0	0.386138614	0.285714286	0	0	0	0	0	0	0	0.444444444	0.363636364	0	0	0
1061648_hypothetical_protein	0	0	0	0	0.211267606	0.2	0	0.166666667	0	0	0	0	0	0.459459459	0.357142857	0	0.166666667	0
1061686_hypothetical_protein	0	0	0	0	0.205882353	0.052631579	0	0	0	0	0	0	0	0.404761905	0.095238095	0	0	0
1061690_hypothetical_protein	0	0	0	0	0.45631068	0.333333333	0.452830189	0.317073171	0	0	0	0	0	0.5	0.1	0.452830189	0.317073171	0
1061698_hypothetical_protein	0	0	0	0	0.431192661	0.296296296	0	0	0	0	0	0	0	0.140350877	0.178571429	0	0	0
1061764_hypothetical_protein	0.071604938	0.083809524	0	0	0	0	0	0.054545455	0	0.066666667	0.3125	0	0	0	0	0	0.054545455	0
1061766_hypothetical_protein	0.088794926	0.105008078	0	0	0	0	0.26984127	0	0	0.058823529	0.294117647	0	0	0	0	0.26984127	0	0
1061768_hypothetical_protein	0	0	0.142857143	0	0.397959184	0.264150943	0.310344828	0.18	0	0	0.055555556	0	0	0	0	0.310344828	0.18	0
1061788_hypothetical_protein	0	0	0	0	0.376344086	0.24	0	0	0	0	0	0	0	0.392857143	0.288461538	0	0	0
1061809_hypothetical_protein	0.044931507	0.042778484	0.07038835	0.079441761	0.3125	0.219512195	0	0.020833333	0	0	0	0	0	0.333333333	0.217391304	0	0.020833333	0
1061834_hypothetical_protein	0	0	0	0	0.428571429	0.428571429	0	0	0	0	0	0	0	0.341463415	0.260869565	0	0	0
1061862_hypothetical_protein	0	0	0	0	0.422535211	0.391304348	0	0	0	0	0	0	0	0.40625	0.41025641	0	0	0
1061894_hypothetical_protein	0	0	0.082352941	0.054030115	0	0	0	0	0	0	0	0	0	0.277777778	0.209302326	0	0	0
1061900_hypothetical_protein	0	0	0.076409496	0.080499653	0	0	0	0	0	0	0	0	0	0.363636364	0.390243902	0	0	0
1061901_hypothetical_protein	0	0	0.240886347	0.261568123	0	0	0	0	0	0	0	0	0	0.242424242	0.195121951	0	0	0
1062254_hypothetical_protein	0	0	0.126353791	0.106520336	0	0	0	0	0	0	0	0.28	0.255813953	0.19047619	0.394736842	0	0	0
1062261_hypothetical_protein	0	0	0	0	0.15	0	0	0.125	0	0	0	0	0	0.142857143	0.117647059	0	0.125	0
1154917_Protein/nucleic_acid_deglycase_3	0	0	0	0	0.253623188	0.338028169	0	0	0	0	0	0	0	0.146666667	0.24	0	0	0
1155133_Protein/nucleic_acid_deglycase_3	0	0	0	0	0.181818182	0.344827586	0	0	0	0	0	0	0	0.142857143	0.242857143	0	0	0
1203266_Nickel/cobalt_efflux_system_RcnA	0	0	0	0	0.128787879	0.083333333	0	0	0	0	0	0	0	0.305084746	0.383561644	0	0	0
1203407_Nickel/cobalt_efflux_system_RcnA	0	0	0	0	0.296875	0.438596491	0	0	0	0	0	0	0	0.129032258	0.303030303	0	0	0
1203560_Nickel/cobalt_efflux_system_RcnA	0	0	0.038737446	0.040201005	0	0.06557377	0	0	0	0	0	0	0	0.104166667	0.081632653	0	0	0
1203563_Nickel/cobalt_efflux_system_RcnA	0	0	0	0	0.179245283	0.29787234	0	0	0	0	0	0	0	0.081632653	0.081632653	0	0	0
1203578_Nickel/cobalt_efflux_system_RcnA	0	0	0.000647249	0.00049505	0.129496403	0.196428571	1	0.173913043	0	0	0	0.070175439	0.071428571	0	0	1	0.173913043	0
1203581_Nickel/cobalt_efflux_system_RcnA	0	0	1	1	0	0	0	0	0	0	0	0.096153846	0	0	0	0	0	0
1203590_Nickel/cobalt_efflux_system_RcnA	0	0	0	0	0.147826087	0.2	0	0	0	0	0	0	0	0.217391304	0.29787234	0	0	0
1203599_Nickel/cobalt_efflux_system_RcnA	0	0	0	0	0.264	0.396226415	0	0	0	0	0	0	0	0.166666667	0.2	0	0	0
1203608_Nickel/cobalt_efflux_system_RcnA	0.120625	0.12739726	0	0	0.05982906	0.065217391	0	0	0	0.390625	0.406779661	0.423076923	0.447368421	0.431818182	0.325	0	0	0
1203627_Nickel/cobalt_efflux_system_RcnA	0	0	0.091194969	0.05918619	0	0	0	0	0	0	0	0.098039216	0.068965517	0	0	0	0	0
1203635_Nickel/cobalt_efflux_system_RcnA	0	0	0.090265487	0.061797753	0	0	0	0	0	0	0	0.125	0.137931034	0	0	0	0	0
1203794_Nickel/cobalt_efflux_system_RcnA	0	0	0	0	0.142857143	0.096774194	0	0	0	0	0	0	0	0.161290323	0.246376812	0	0	0
1203830_Nickel/cobalt_efflux_system_RcnA	0	0	0.053333333	0.090909091	0	0	0	0	0	0	0	0	0	0.289855072	0.328571429	0	0	0
1203878_Nickel/cobalt_efflux_system_RcnA	0	0	0.00056338	0	0.141732283	0.103448276	0	0	0	0	0	0	0	0.140625	0.153846154	0	0	0
1203917_Nickel/cobalt_efflux_system_RcnA	0.019036288	0.021258503	0.019886364	0.0152207	0.151515152	0.103448276	0	0	0	0	0	0	0	0.140350877	0.122807018	0	0	0
1203920_Nickel/cobalt_efflux_system_RcnA	0	0	0	0	0.240963855	0.393939394	0	0	0	0.012345679	0	0	0	0.134328358	0.101694915	0	0	0
1203923_Nickel/cobalt_efflux_system_RcnA	1	1	1	1	0	0	0	0	0	0.023809524	0.016666667	0	0	0.136363636	0.103448276	0	0	0
1203932_Nickel/cobalt_efflux_system_RcnA	0	0	0.073333333	0.086666667	0	0	0	0	0	0	0	1	1	0	0	0	0	0
1203956_Nickel/cobalt_efflux_system_RcnA	0	0	0	0	0.261146497	0.301587302	0	0	0	0	0	0	0	0.118644068	0.153846154	0	0	0
1345612_Myo-inositol_2-dehydrogenase	0	0	0	0	0.135869565	0.123595506	0	0	0	0	0	0	0	0.092307692	0.116666667	0	0	0
1345768_Myo-inositol_2-dehydrogenase	0	0	0	0	0.281914894	0.347826087	0	0	0	0	0	0	0	0.086956522	0.231884058	0	0	0
1346464_Myo-inositol_2-dehydrogenase	0	0	0	0	0.112	0.3125	0	0.166666667	0	0	0	0	0	0.090909091	0.107692308	0	0.166666667	0
1346502_Myo-inositol_2-dehydrogenase	1	1	0	0	0.132231405	0.101449275	1	1	0	0	0	0	0	0.169230769	0.225806452	1	1	0
1702750_putative_protein_McbA	0	0	0.25	0.194244604	0	0	0	0	0	0	0	1	1	0.132352941	0.211538462	0	0	0
1702845_putative_protein_McbA	0	0	0	0	0.139130435	0.077922078	0	0	0	0	0	0	0	0.097222222	0.340909091	0	0	0
1729774_Sugar_phosphatase_YbiV	0	0	0	0	0.129411765	0.076923077	0	0	0	0	0	0	0	0	0.125	0	0	0
1729783_Sugar_phosphatase_YbiV	1	1	0	0	0.138297872	0.068965517	0	0	0	0	0	0	0	0	0.096153846	0	0	0
1729838_Sugar_phosphatase_YbiV	0.239583333	0.205761317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1729861_Sugar_phosphatase_YbiV	0.010204082	0.009090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1729867_Sugar_phosphatase_YbiV	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1729870_Sugar_phosphatase_YbiV	1	0.003333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1729875_Sugar_phosphatase_YbiV	0.149606299	0.12173913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1729879_Sugar_phosphatase_YbiV	0.180970149	0.18380744	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
1742118_hypothetical_protein	0.226837061	0.21787234	0.060893099	0	0	0	0	0	0	0.212765957	0.153846154	0	0	0	0	0	0	0
1742129_hypothetical_protein	0.383141762	0.378167641	0.22815534	0.203349282	0	0	0	0	0	0.230769231	0.142857143	0	0	0	0	0	0	0
1742132_hypothetical_protein	0.375533428	0.360169492	0.228714524	0.215158924	0.23255814	0	0	0.152173913	0	0.171428571	0.138888889	0	0	0	0	0	0.152173913	0
1742177_hypothetical_protein	0	0	0.445945946	0.446153846	0	0	0	0	0	0	0	0	0.173913043	0	0	0	0	0
1742179_hypothetical_protein	0	0	0.426666667	0.444444444	0	0	0	0	0	0	0	0	0.157894737	0	0	0	0	0
1742181_hypothetical_protein	0	0	1	1	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0
1742201_hypothetical_protein	0.244744745	0.242767296	0.437375746	0.498281787	0	0	0	0	0	0.45	0.461538462	0.45	0.235294118	0.2	0.454545455	0	0	0
1742222_hypothetical_protein	0.028391167	0.029748284	0	0	0	0	0	0	0	0.227272727	0.272727273	0.166666667	0.4	0.375	0	0	0	0
1742225_hypothetical_protein	0.093457944	0.093023256	0	0	0	0	0	0	0	0.105263158	0.238095238	0.222222222	0.4	0.5	0	0	0	0
1742337_hypothetical_protein	0	0	0.428571429	0.5	0	0	0	0	0	0	0	0	0.444444444	0	0	0	0	0
1742386_hypothetical_protein	0	0	0.065217391	0.126213592	0	0	0	0	0	0	0	0.222222222	0	0	0	0	0	0
1742436_hypothetical_protein	0.175438596	0.210526316	0.171052632	0.166666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1742439_hypothetical_protein	0.264705882	0.3	0.059701493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1742442_hypothetical_protein	0.307692308	0.294117647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1742559_hypothetical_protein	0	0	0	0	0.030769231	0.102040816	0	0.142857143	0	0.142857143	1	1	0	0	0	0	0.142857143	0
1742596_hypothetical_protein	0	0	0	0	0.186046512	0.230769231	0	0.205128205	0	0	0	0	0	0	0.266666667	0	0.205128205	0
1984079_putative_cyclic_di-GMP_phosphodiesterase_PdeG	0	0	0	0	0.304347826	0.454545455	0	0.142857143	0	0	0	0	0	0.307692308	0.34375	0	0.142857143	0
1984153_hypothetical_protein	0.41509434	0.397415186	0.176470588	0.272727273	0.325	0.419354839	0	0	0	0	0.3	0	0	0.166666667	0.166666667	0	0	0
1984155_hypothetical_protein	0.382413088	0.367283951	0.193548387	0.279069767	0.295454545	0.366666667	0	0	0	0	0.454545455	0	0	0.25	0.115384615	0	0	0
1984158_hypothetical_protein	0.046831956	0.025540275	0.018181818	0.026315789	0.161290323	0	0	0	0	0	0.133333333	0	0	0	0	0	0	0
1984172_hypothetical_protein	1	1	0	0	0	0	0	0	0	0.3125	0.235294118	0	0	0.388888889	0.413793103	0	0	0
1984177_hypothetical_protein	0	0	0.000645578	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1984192_hypothetical_protein	0	0	0	0.00057241	0.150943396	0.25862069	0	0	0	0	0	0	1	0	0	0	0	0
2115688_Isocitrate_dehydrogenase_[NADP]	0	0	0	0	0.127118644	0.123076923	0	0.113636364	0	0	0	0	0	0.16	0.272727273	0	0.113636364	0
2246414_Glycine_cleavage_system_transcriptional_activator	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
2247136_Glycine_cleavage_system_transcriptional_activator	0	0	0	0	0.225	0.173913043	1	0.173913043	0	0	0	0	0	0.378378378	0.111111111	1	0.173913043	0
2274751_Putrescine_export_system_permease_protein_SapB	0.120543294	0.136897001	0	0	0	0	0	0	0	0.444444444	0.384615385	0	0	0.3	0.333333333	0	0	0
2274770_Putrescine_export_system_permease_protein_SapB	0	0	0	0	0.117647059	0.216216216	0	0	0	0.173913043	0	0	0	0	0.117647059	0	0	0
2275002_Putrescine_export_system_permease_protein_SapB	1	1	0	0	0	0	0	0.076923077	0	0	0	0	0	0.135135135	0.2	0	0.076923077	0
2275656_Putrescine_export_system_permease_protein_SapB	0	0.001506024	0	0	0.230769231	0	0	0	0	1	1	0	0	0	0	0	0	0
2360283_Protein_ClpV1	0	0	0	0	0.108108108	0	0	0.136363636	0	0	0	0	0	0.071428571	0.071428571	0	0.136363636	0
2360326_Protein_ClpV1	0	0	0	0	0.19	0.212765957	0	0	0	0	0	0	0	0.1	0	0	0	0
2360441_Protein_ClpV1	0.387096774	0.37037037	0	0	0	0	0	0	0	1	1	0	0	0.15	0.111111111	0	0	0
2361082_Protein_ClpV1	1	1	1	1	0.333333333	0.416666667	0	0.204081633	0	0.111111111	0	0	0	0	0	0	0.204081633	0
2361225_Protein_ClpV1	0	0	0	0	0.288461538	0.4375	0	0	0	0	0	0	0	0	0.170731707	0	0	0
2361578_Protein_ClpV1	0	0	0	0	0.268518519	0.256410256	0	0	0	0	0	0	0	0.170212766	0.27027027	0	0	0
2362096_Protein_ClpV1	0	0	0.5	0.491525424	0	0	0	0	0	0	0	0	0	0.153846154	0.216216216	0	0	0
2380163_hypothetical_protein	0.000650618	0.000517598	1	0.000578035	1	1	1	1	0	1	1	1	1	0.121212121	0.371428571	1	1	0
2388109_putative_quorum-quenching_lactonase_YtnP	0.155963303	0.277310924	0.151898734	0.15	0	0	0	0	0	0	0	0	0	0.189189189	0.266666667	0	0	0
2388185_putative_quorum-quenching_lactonase_YtnP	0	0	0	0	0.245283019	0.314814815	1	0.107142857	0	0	0	0	0	0.181818182	0.318181818	1	0.107142857	0
2388217_putative_quorum-quenching_lactonase_YtnP	0	0	0	0	0.293478261	0.351851852	1	0.162162162	0	0	0	0	0	0	0.074074074	1	0.162162162	0
2388219_putative_quorum-quenching_lactonase_YtnP	0	0	0	0	0.353846154	0.333333333	0	0	0	0	0	0	0	0.23255814	0.320754717	0	0	0
2408768_Outer_membrane_protein_N	0.021390374	0.016260163	0.008196721	0.018867925	0	0	0	0.090909091	0	0	0	0	0	0	0	0	0.090909091	0
2408778_Outer_membrane_protein_N	0	0.002932551	0	0	0.125	0.3	0	0.047619048	0	0.166666667	0	0	0	0	0	0	0.047619048	0
2498707_p-aminobenzoyl-glutamate_transport_protein	0.161538462	0.14025974	0	0	0	0	0	0	0	1	1	0	0	0.209302326	0.205128205	0	0	0
2498752_p-aminobenzoyl-glutamate_transport_protein	0.397769517	0.395	0	0	0	0	0	0	0	1	1	1	1	0.081081081	0.282051282	0	0	0
2498781_p-aminobenzoyl-glutamate_transport_protein	0.251655629	0.236144578	0	0	0	0	0	0	0	0.166666667	0	0	0	0	0	0	0	0
2498787_p-aminobenzoyl-glutamate_transport_protein	0.069400631	0.050420168	0	0	0	0	0	0	0	0.25	0.363636364	0	0	0	0	0	0	0
2498806_p-aminobenzoyl-glutamate_transport_protein	0	0	0	0.000684932	0	0	0	0.125	0	0.307692308	0	0	0	0	0	0	0.125	0
2499107_p-aminobenzoyl-glutamate_transport_protein	1	1	0	0	1	1	0	0	0	0	0	0	0	0.295454545	0.357142857	0	0	0
2499601_p-aminobenzoyl-glutamate_transport_protein	0	0	0	0	0.2	0.25	0	0.192307692	0	0	0	0	0	0.243902439	0.316666667	0	0.192307692	0
2597213_hypothetical_protein	0	0	0	0	0.266666667	0.320754717	0	0	0	0	0	0	0	0.097560976	0.277777778	0	0	0
2597759_hypothetical_protein	0	0	0	0	0.120689655	0.083333333	0	0	0	0	0	0	0	1	1	0	0	0
2597838_hypothetical_protein	1	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0
2623967_Major_exported_protein	0	0	0	0	0.160714286	0.239130435	0	0	0	0	0	0	0	0.148148148	0.086956522	0	0	0
2624147_Major_exported_protein	1	0.001306336	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
2624163_Major_exported_protein	0	0	0	0	0.343137255	0.323076923	0	0	0	0	0	0	0	0.083333333	0.222222222	0	0	0
2624282_Major_exported_protein	0	0	0.084870849	0.073298429	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2649334_Fimbria_adhesin_protein	1	1	0	0	0.102803738	0	0	0.139534884	0	1	1	0	0	0	0	0	0.139534884	0
2649389_Fimbria_adhesin_protein	0	0	0	0	0	0	1	0.117647059	0	0	0	0	0	0	0	1	0.117647059	0
2649482_Fimbria_adhesin_protein	0.166666667	0.073684211	0.142857143	0.092783505	0	0	0	0	0	1	1	0	0	0	0	0	0	0
2649505_Fimbria_adhesin_protein	0	0.013333333	0	0.026315789	0	0	0	0	0	1	1	0	0	0	0	0	0	0
2649924_Fimbria_adhesin_protein	0.172413793	0.058823529	0.177777778	0.084507042	0	0	0	0	0	1	1	0	0	0.104166667	0	0	0	0
2649992_Fimbria_adhesin_protein	0	0	0.292517007	0.280898876	0.230769231	0	0	0	0	0	0	0	0	0.037735849	0.3	0	0	0
2728714_PTS_system_mannose-specific_EIIBCA_component	0	0	0	0	0.119047619	0.076923077	0	0.19047619	0	0	0	0	0	0	0.133333333	0	0.19047619	0
2728804_PTS_system_mannose-specific_EIIBCA_component	0	0	0	0	0.333333333	0.434782609	0	0	0	0	0	0	0	0	0.090909091	0	0	0
2728941_PTS_system_mannose-specific_EIIBCA_component	0.425531915	0.453125	0.435897436	0.349206349	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2728944_PTS_system_mannose-specific_EIIBCA_component	0.042553191	0.045454545	0.027027027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2728945_PTS_system_mannose-specific_EIIBCA_component	0.055555556	0.057692308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2728948_PTS_system_mannose-specific_EIIBCA_component	0	0	0.001754386	0	0	0	0.171428571	0	0	0	0	0	0	0	0	0.171428571	0	0
2728951_PTS_system_mannose-specific_EIIBCA_component	0	0	0	0	0.0625	0.054054054	0	0	0	0	0	0	0	0	0	0	0	0
